rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
183539,191421,198754,206422,213853,220890,227765,232558,231705,227752,223093,216397,213119,212089,210955,208639,193900,171375,154400,142173,134226,129433,127314,127536,126403,125058,122655,119443,115091,107441,99316.5,90841.6,83718.4,79486.4,76955,80928.7,80720.1,73626.9,67446,66623.9,62049.2,59328.3,53767.5,52132.2,54062.7,56108.2,55631.3,51061.2,49319.2,49943.7,48571,42651.6,40924.7,36767.3,29945.3,25645.6,25911.7,26247.8,26257.5,27039.4,28615.5,28581.9,27738.9,29815.8,33862.3,40039.9,50402.2,50345.1,50366.6,58744.6,72306.9,74508,80771.3,88001.9
183539,191421,198754,206422,213853,220890,227765,232558,231705,227752,223093,216397,213119,212089,210955,208639,193900,171375,154400,142173,134226,129433,127314,127536,126403,125058,122655,119443,115091,107441,99316.5,90841.6,83718.4,79486.4,76955,80928.7,80720.1,73626.9,67446,66623.9,62049.2,59328.3,53767.5,52132.2,54062.7,56108.2,55631.3,51061.2,49319.2,49943.7,48571,42651.6,40924.7,36767.3,29945.3,25645.6,25911.7,26247.8,26257.5,27039.4,28615.5,28581.9,27738.9,29815.8,33862.3,40039.9,50402.2,50345.1,50366.6,58744.6,72306.9,74508,80771.3,88001.9
183539,191421,198754,206422,213853,220890,227765,232558,231705,227752,223093,216397,213119,212089,210955,208639,193900,171375,154400,142173,134226,129433,127314,127536,126403,125058,122655,119443,115091,107441,99316.5,90841.6,83718.4,79486.4,76955,80928.7,80720.1,73626.9,67446,66623.9,62049.2,59328.3,53767.5,52132.2,54062.7,56108.2,55631.3,51061.2,49319.2,49943.7,48571,42651.6,40924.7,36767.3,29945.3,25645.6,25911.7,26247.8,26257.5,27039.4,28615.5,28581.9,27738.9,29815.8,33862.3,40039.9,50402.2,50345.1,50366.6,58744.6,72306.9,74508,80771.3,88001.9
364720,274191,155019,141503,166122,341685,123078,329030,208591,292978,214102,251589,181448,229477,122515,296301,510456,138398,222270,32254.5,169422,93727.7,81246.7,239349,45593.5,68942.1,143339,95236.3,199118,77178.4,153474,58879.1,149419,106333,62727.8,103889,25073.6,107153,115633,74348.1,112840,47582.2,67876.6,59277.2,37818.7,57206.5,47067,110775,32821.2,42605.6,26418.2,56325.4,118819,17199.8,17588.3,28257.3,19830.1,20005.1,27097.6,31066.5,29590,43326.6,28458.5,28513.8,44348.2,31215.3,50380,51273.7,25744.5,45911.9,144908,40638,85001.7,118129
421592,822509,179219,83845.4,148140,787205,140186,87136.8,444410,110206,276646,239662,143486,378981,90500.7,305677,166855,186767,169056,66712,202737,140064,95903.9,231465,20298.9,75842.6,110043,79178.7,93992.7,127646,222652,72188.4,97162.6,193519,23523.1,54498.9,37283.7,143777,82097.2,67705.6,71590.2,49778.2,67378.7,64055.5,25486.1,59287.9,24404,130309,65833.3,36853.3,26489.6,82673.4,84471.1,17545.4,12229.7,38624.5,24900.7,21973,19691.9,24860,16121.8,27073.4,9397.54,21161.1,52737.8,27953.8,59995.2,28793.6,27201.1,34283.3,90863,32903.6,58600.7,48192
126242,970729,116894,31422.5,234234,699381,137077,263956,202776,305381,218436,285260,960343,524670,100391,171357,191535,233726,113386,64636.6,416268,364320,136397,67516.3,32381.6,43431.6,80730.6,142487,155924,146129,306673,45786.9,33593.1,246079,21421,107123,42790.4,101662,19873.5,137849,84098.3,141988,89981.3,31760.3,15986.2,123106,51680.9,59628.8,29003.9,57113,45747.1,24372.6,64935,85930,19216,48326.7,49988.5,22768.7,19119.2,85016.6,35933.2,44690.1,32665.4,18019,71877.4,87702.1,52916.3,35399.9,50243.3,165113,92186.9,70683.2,54345.1,115693
653462,1.02776e+006,59271.5,57539.6,627388,990656,103908,903423,190863,426064,197144,275300,580016,695330,147398,71474.4,247085,170381,399823,63770.2,354013,181633,83482.4,125001,27244.7,87214.8,39078.3,237472,98345.6,348809,79016.4,87737.1,39561.6,389105,17505.1,140777,162184,140309,26656.8,74622.3,64051.1,114826,63889.2,62526.2,35416.2,211364,47907.6,6523.6,58713.7,48101.5,55158.3,57752.5,40569.9,103176,21029.9,29443.5,106937,26162.3,26964.1,31477.5,54677.6,63854.8,87930.2,25472.5,46071.5,153659,29835,28640.6,38575.3,243668,192154,107519,22881.3,47348.9
461526,1.2042e+006,103480,178612,558180,410960,55060.2,564978,231825,356300,343080,256772,621127,355216,113356,205979,73647.6,122984,365823,66434.4,347326,307541,99067.3,104356,31041.1,58827.5,91028.9,132834,372738,214573,49113.1,69264,69200.8,169920,19180,145445,88212.4,179090,28151.6,32595.1,28397.8,279083,42304.6,45740.1,30165.6,167572,41757.8,21511.3,11380,36087.7,109870,58405.3,18616,57176.6,19011.9,18222,168914,43211.4,30440.7,33903.2,99013.2,43548.6,114991,12178.7,19235.8,195788,33785,19357.4,139641,170203,72715.2,209010,15808.8,42137.4
157027,414273,38521.6,182531,297705,1.32946e+006,104223,324293,165484,300908,301306,592699,288223,443133,218940,765017,160307,69403.3,155952,198588,195673,216866,122015,204528,31993.7,31312.1,77804.2,184239,281178,214191,56435.8,78716.5,52545.4,299374,9362.79,90599.3,30924,87684.2,46662.4,50661,40313.8,217609,18543.9,85062.9,14707.7,168869,48435.5,26262.3,24650.9,53375.8,65703.6,60685.3,17070.1,67257.6,12583,12393.2,61949.8,30619.1,44380.7,20386.9,45327.1,15201.8,60825.6,11975.9,38697.9,38561.4,12495.4,28947.1,258282,133755,81078.1,164073,27670.1,43394.3
161847,486037,51796.9,102796,158297,720342,92394.3,142087,411508,145743,469811,439595,237054,657273,236975,543013,235472,40647.7,92564.2,110403,216674,163358,86744.7,110167,79008.8,28875.9,48572.6,174565,485687,346047,73528.5,19438.1,74348.1,256348,15797.3,174032,31421.8,56428.1,81864.5,80776.2,40239.5,247791,29162.4,30127.3,11872.4,177015,28642.7,28481.1,20778.2,84037.9,86697.6,49912.4,14016.6,57420.1,11603.2,34581.3,20084.7,27273.1,35975.5,22430,32925.7,17289.8,52518.4,8178.98,25098.4,18241.9,21867.2,93954.8,135361,44910.1,54181.5,147245,24995.3,86948.4
