sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
38595,35994.9,33643.2,31267.8,29211.5,27134.8,24438.7,21305.7,18117.2,15867.9,14436.8,13200.7,12419.7,11984.9,11636.4,11237.5,9780.09,7972.52,6791.66,6024.77,5539.47,5266.16,5142.41,5167.55,5122.3,5063.78,4943.7,4770.86,4544.6,4176.84,3842.87,3526.61,3232.4,3023.6,2849.65,2742.04,2681.6,2604.16,2525.82,2445.11,2376.93,2309.33,2160.75,2032.78,1997.84,2020.15,2049.59,2041.65,2029.59,1982.51,1852.57,1652.06,1506.14,1402.62,1271.54,1163.74,1069.84,1016.94,1002.2,991.495,998.702,1019.97,1097.74,1237.64,1406.23,1591.43,1782.21,1974.69,2179.29,2410.32,2673.48,2986.28,3336.44,3687.9,4069.06,4535.49
38595,35994.9,33643.2,31267.8,29211.5,27134.8,24438.7,21305.7,18117.2,15867.9,14436.8,13200.7,12419.7,11984.9,11636.4,11237.5,9780.09,7972.52,6791.66,6024.77,5539.47,5266.16,5142.41,5167.55,5122.3,5063.78,4943.7,4770.86,4544.6,4176.84,3842.87,3526.61,3232.4,3023.6,2849.65,2742.04,2681.6,2604.16,2525.82,2445.11,2376.93,2309.33,2160.75,2032.78,1997.84,2020.15,2049.59,2041.65,2029.59,1982.51,1852.57,1652.06,1506.14,1402.62,1271.54,1163.74,1069.84,1016.94,1002.2,991.495,998.702,1019.97,1097.74,1237.64,1406.23,1591.43,1782.21,1974.69,2179.29,2410.32,2673.48,2986.28,3336.44,3687.9,4069.06,4535.49
38595,35994.9,33643.2,31267.8,29211.5,27134.8,24438.7,21305.7,18117.2,15867.9,14436.8,13200.7,12419.7,11984.9,11636.4,11237.5,9780.09,7972.52,6791.66,6024.77,5539.47,5266.16,5142.41,5167.55,5122.3,5063.78,4943.7,4770.86,4544.6,4176.84,3842.87,3526.61,3232.4,3023.6,2849.65,2742.04,2681.6,2604.16,2525.82,2445.11,2376.93,2309.33,2160.75,2032.78,1997.84,2020.15,2049.59,2041.65,2029.59,1982.51,1852.57,1652.06,1506.14,1402.62,1271.54,1163.74,1069.84,1016.94,1002.2,991.495,998.702,1019.97,1097.74,1237.64,1406.23,1591.43,1782.21,1974.69,2179.29,2410.32,2673.48,2986.28,3336.44,3687.9,4069.06,4535.49
45997.5,43168,40581.5,38108,36297.1,34233.5,31211.3,27247,23479.9,21138.3,19170.1,17231.1,16598.7,16291.2,15709.5,15290.8,12486.2,9602.09,8367.37,7243.77,7151.19,9001.12,10049.6,10080,9869.97,9071.47,8433.83,7742.91,7253.2,6175.88,5111.52,4508.41,3961.24,3606.41,3222.39,3255.49,3276.04,3366.07,3793.23,3977.09,4017.95,3824.61,3321.6,3237.35,3296.02,3392.41,3440.09,3267.18,3099.11,2928.62,2813.53,2468.39,2245.59,2233.75,1979.05,1751.54,1675.93,1808.28,1888.7,1684.09,1524.49,1463.22,1454.35,1529.73,1677.82,1840.42,2052.92,2283.51,2463.07,2694.99,2934.27,3155.21,3461.59,3766.62,4006.91,4622.76
53043.3,51025.3,48167.6,45137.1,44056.3,42135.7,39779.2,37796.8,34820,31595.8,29595.1,28498.4,26485.9,25057.9,23714.9,21815.9,18700.2,15499.9,14044.8,10831,8699.4,8792.57,8687.43,8466.24,8210.15,8053.43,8292.64,8173.83,7809.53,6548.43,5303.04,4695.16,4102.93,3517.71,3040.8,3156.37,3430.89,3603.27,4054.61,4150.9,3851.26,3616.46,3423.02,3388.89,3454.18,3474.56,3395.07,3251.11,3075.44,2812.63,2671.55,2051.51,1759.74,1939.13,1817.94,1520.77,1482.58,1632.06,1644.1,1435.05,1277.01,1250.53,1255.69,1283.93,1369.23,1447.93,1554.3,1669.41,1765.2,2011.83,2288.48,2564.54,2853.95,3064.2,3251.62,3621.41
45411.5,43599.5,41477.9,39346.5,38644.9,36365.5,34066.9,31811.2,27715,24972.7,23831.6,22502.1,21467.3,20493.1,19397,19134.2,17941.7,18983.8,19959.3,16071.5,12920.2,11750.2,11111.8,10565,9999.97,10356.3,11551.6,12232,11252.8,9123.09,7258.62,5882.46,5107.21,4843.1,4683.82,5129.79,5463.93,5301.16,5665.77,5960.18,5753.69,5503.23,4953.62,4382.91,4482.76,4780.35,5032.99,5240.84,5086.72,4599.67,4380.71,4050.92,3568.82,3267.82,2733.08,2407.18,2282.33,2217.03,2359.94,2383.82,2279.56,2308.8,2405.91,2479.06,2744.26,3069.31,3263.58,3482.22,3652.02,3889.09,4308.58,4725.09,5076.71,5375.6,5977.27,6748.1
47710.6,46148.3,44456.5,43382.6,42419.1,41572.1,42444.7,41414.5,38194.7,37013.8,37020.1,34414.7,34176.3,35602.6,34554.6,33421.5,31062.5,29319.7,28623.2,25901.1,20752.6,17830.9,16548.7,15914.1,14936.4,13633.3,13199.9,12735.4,11590.2,9628.31,7899.36,6826.7,6444.96,5909.08,5674.48,5121.65,4763.98,4853.59,5783.18,6719.62,6617.39,6656.37,6487.63,6004.79,5845.54,5711.96,5615.88,5576.01,5313.22,4642.43,4468.15,4593.76,4185.94,3603.34,3066.32,2792.67,2672,2561.1,2743.58,2976.75,2954.96,3123.56,3334.58,3400.29,3535.91,3757.21,4038.99,4447.5,4854.13,5030.19,5477.28,5973.11,6268.15,6598.79,7433.02,8716.29
43225.4,40980.1,38768.3,37455.3,35966,34663.9,34909.8,33012.5,30037.3,29398.6,27985.9,25339.8,24645.1,24447.1,23849.4,24601.5,23724.2,22972.9,23007.4,21315.7,17942.8,15004.8,13301.6,12904.2,12737.6,12602.4,13225.2,13409.1,11997.3,9617.5,7893.79,7134.38,5956.17,5816.84,5548.8,4745.15,4480.08,4301.25,4456.79,4628.01,4263.93,4028.61,4129.23,3974.67,3812.57,3550.25,3881.86,4279.4,3945.7,3427.9,3344,3383.25,3083.33,2684.84,2366.83,2328.14,2357.37,2205.19,2183.48,2331.36,2318.88,2646.53,3154.96,3426.97,3679.26,4122.35,4528.99,4949.38,5431.36,5492.41,5964.23,6674.98,6890.3,7292.59,8218.92,8893.06
37898.5,36189.7,34726.7,33421.5,31593.7,28430.1,24050.5,19619.4,18017.5,18123.9,18393.2,17951.2,17660.3,16822.2,16270.8,16971.3,16082.6,14807.1,15266.9,15559.2,13737.7,12333.1,12095,11450.5,11447,11778,10793,9815.68,9205.69,7910.72,6599.57,5493.7,5235.36,5926.16,6480.44,6306.2,6004.2,5580.42,5984.31,6175.03,5058.43,4170.11,3234.39,2221.68,1844.85,1873.92,2446.23,2864.04,2972.47,2935.16,2888.31,2848.72,2642.18,2378.49,2087.41,1923.07,1799.44,1624.97,1629.37,1695.67,1540.69,1526.81,1688.89,1871.49,2063.71,2267.6,2430.4,2625.83,2823.08,2899.91,3114.98,3498.74,3872.56,4905.82,6411.81,7305.89
38230.8,35555.6,34605.7,33578.2,31443.3,27681.8,23948.8,20282,17832,15921.7,14025,13144.5,11745.3,10715.3,10636.3,12068.7,12639.9,11613.6,12303.4,12478.4,10837.1,10064.6,9613.16,8185.11,7517.13,7754.21,6986.84,5916.26,5094.25,3735.39,2665.61,2800.36,3576.16,4901.34,6075.58,6497.19,6566.66,6134.66,6216.73,5867.08,4844.2,4220.93,3093.8,2371.43,2329.99,2305.04,2894.55,3497.49,3382.59,3018.87,2881.43,2546.2,2107.49,1946.61,1799.34,1716.8,1622.2,1412.52,1273.7,1176.82,1079.52,1040.85,1091.38,1233.97,1417.44,1617.69,1763.03,1951.89,2128.91,2214.21,2411.73,2673.01,3111.58,3916.28,4690.49,5130.53
