ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
342383,0.760047,0.199888,0.199888,82039.2,148.421,0.26,0.735, 40046.7, 13732.6, 2687.91, 0.342181,0.0992085,6.36761e-005,7712.02,291.134
342383,0.760047,0.199888,0.199888,82039.2,148.421,0.26,0.735, 40046.7, 13732.6, 2687.91, 0.342181,0.0992085,6.36761e-005,7712.02,291.134
342383,0.760047,0.199888,0.199888,82039.2,148.421,0.26,0.735, 40046.7, 13732.6, 2687.91, 0.342181,0.0992085,6.36761e-005,7712.02,291.134
335863,0.745095,0.199888,0.199888,75263.6,18034.6,0.26,0.735, 39284, 13634.7, 2600.96, 0.33057,0.097933,6.94487e-005,7447.53,319.172
364999,0.719883,0.199888,0.199888,70440.1,85.6887,0.26,0.735, 42691.9, 15120.3, 2759.7, 0.311731,0.103631,6.92416e-005,6582.16,334.138
345276,0.625404,0.199888,0.199888,82456.1,1026.27,0.26,0.735, 40385, 15427.9, 2356.01, 0.247708,0.064763,5.01323e-005,8988.92,348.063
350594,0.681763,0.199888,0.199888,89969.1,169603,0.26,0.735, 41007, 14972.5, 2550.15, 0.284782,0.0736929,4.95015e-005,8450.64,361.968
306668,0.587806,0.199888,0.199888,84056.8,3062.61,0.26,0.735, 35869.2, 14131.2, 1994.2, 0.224446,0.0566184,5.06321e-005,8257.43,368.129
239662,0.597785,0.199888,0.199888,76631.5,398.377,0.26,0.735, 28031.9, 10952.9, 1579.3, 0.230521,0.057664,5.91771e-005,7395.75,364.873
216452,0.703997,0.199888,0.199888,75161.5,21.2394,0.26,0.735, 25317.2, 9081.24, 1611, 0.300291,0.105827,7.10194e-005,6265.74,363.523
223808,0.644691,0.199888,0.199888,71227.4,2.68995,0.26,0.735, 26177.6, 9845.92, 1562.51, 0.260069,0.0926306,7.05401e-005,5514.41,371.157
252417,0.798061,0.199888,0.199888,65671.7,1.7943e+006,0.26,0.735, 29523.8, 9813.94, 2048.26, 0.373387,0.142703,9.00121e-005,6248.99,385.152
273538,0.818758,0.199888,0.199888,80909.7,98.3312,0.26,0.735, 31994.2, 10452.9, 2257.98, 0.391547,0.102591,5.36618e-005,11094.3,376.1
324058,0.721168,0.199888,0.199888,73038.9,6479.17,0.26,0.735, 37903.3, 13410.5, 2453.22, 0.31267,0.113039,6.5863e-005,7969.99,372.99
307625,0.760019,0.199888,0.199888,79945,1.75132e+006,0.26,0.735, 35981.2, 12338.7, 2414.98, 0.342159,0.106047,5.67261e-005,9964.12,383.079
244727,0.899996,0.199888,0.199888,81151.9,43.0027,0.26,0.735, 28624.4, 8706.08, 2150.06, 0.473457,0.111773,5.39757e-005,11965.7,385.05
253960,0.828517,0.199888,0.199888,71268.1,113.825,0.26,0.735, 29704.3, 9625.01, 2112.96, 0.400436,0.120703,6.7015e-005,9717.32,390.013
310155,0.75645,0.199888,0.199888,63239.2,13.0636,0.26,0.735, 36277.1, 12476.2, 2427, 0.339356,0.16136,8.63979e-005,7864.06,400.7
436030,0.630792,0.199888,0.199888,57477.7,720294,0.26,0.735, 51000, 19398.3, 2994.7, 0.25113,0.146131,0.00010032,5760.99,399.758
461007,0.634542,0.199888,0.199888,63967.8,5.41745,0.26,0.735, 53921.5, 20447.5, 3180.45, 0.253525,0.112669,7.93134e-005,7404.15,398.248
432293,0.643412,0.199888,0.199888,66047.3,5.03319,0.26,0.735, 50562.9, 19037.3, 3013.57, 0.259239,0.0787554,6.97527e-005,7732.21,387.109
399184,0.613641,0.199888,0.199888,68872.3,297329,0.26,0.735, 46690.4, 18008, 2684.57, 0.240319,0.0728551,5.92751e-005,7850.61,384.641
372346,0.733112,0.199888,0.199888,62784,936657,0.26,0.735, 43551.3, 15262.1, 2851.29, 0.321506,0.110924,8.25786e-005,5651.38,394.98
399751,0.689055,0.199888,0.199888,66551.3,27695.6,0.26,0.735, 46756.7, 16972.8, 2930.06, 0.289807,0.114947,7.53532e-005,7985.48,394.407
444955,0.651819,0.199888,0.199888,68477.3,10.3685,0.26,0.735, 52043.9, 19463, 3131.94, 0.264719,0.0789762,5.86543e-005,10107,404.818
400702,0.740441,0.199888,0.199888,80749.5,73323.9,0.26,0.735, 46867.9, 16328, 3089.68, 0.327026,0.0742393,4.66602e-005,11674.8,392.56
344052,0.755945,0.199888,0.199888,82243.9,4.45885,0.26,0.735, 40241.8, 13845.4, 2691.02, 0.338961,0.0669222,4.37011e-005,11159.7,388.656
306893,0.561772,0.199888,0.199888,88726.1,820996,0.26,0.735, 35895.6, 14453.3, 1924.07, 0.208895,0.0442352,3.01752e-005,13867.9,396.049
284470,0.631957,0.199888,0.199888,80295.8,62.7343,0.26,0.735, 33272.9, 12643.7, 1956.5, 0.251873,0.0651102,4.38024e-005,10615.1,396.111
286593,0.682512,0.199888,0.199888,75385.8,1.51087e+006,0.26,0.735, 33521.2, 12232, 2086.27, 0.285295,0.069401,4.74783e-005,9241.18,396.131
276613,0.663004,0.199888,0.199888,79155.1,210489,0.26,0.735, 32353.9, 11991.5, 1971.6, 0.272109,0.0776845,5.07587e-005,7495.58,389.771
243852,0.660041,0.199888,0.199888,81796.1,76.0286,0.26,0.735, 28522, 10596.4, 1732.38, 0.27014,0.0611289,4.75158e-005,8351.07,391.066
230589,0.633736,0.199888,0.199888,90797.2,227839,0.26,0.735, 26970.7, 10234.2, 1589.29, 0.25301,0.0701852,3.60734e-005,12508.1,397.523
280296,0.763653,0.199888,0.199888,95076,220427,0.26,0.735, 32784.6, 11209.5, 2207.62, 0.345034,0.0736827,3.47712e-005,14369.5,396.881
299680,0.690743,0.199888,0.199888,94395.1,1.29017e+006,0.26,0.735, 35052, 12706.8, 2200.43, 0.290979,0.070159,3.27732e-005,16685.1,397.98
