rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
183837,191681,199036,206756,214356,221534,228451,233181,232070,227909,223085,216142,212865,211946,210915,208674,193740,171040,154071,141900,134049,129294,127174,127309,126081,124648,122193,118977,114649,106996,98761.4,90072.7,82795.1,78467.1,75875.8,80274.8,80398.5,73308.8,67088.7,66311.1,61694.1,58986.5,53372.1,51748.5,53744.4,55868.5,55424.8,50796.3,49037.8,49635.6,48090.9,41886.7,40120.8,36137.5,29304.7,24927.9,24998.4,25053,24957.7,25578.7,26907.8,26673.4,25722.9,27504.4,31034.9,36404.3,45173.6,44943.5,44777.9,51364.8,60650.6,59789.7,59942.6,62746.3,67769.6,77075.4,90938.1,99105.7,105887,112510,127664,125735,128920
183837,191681,199036,206756,214356,221534,228451,233181,232070,227909,223085,216142,212865,211946,210915,208674,193740,171040,154071,141900,134049,129294,127174,127309,126081,124648,122193,118977,114649,106996,98761.4,90072.7,82795.1,78467.1,75875.8,80274.8,80398.5,73308.8,67088.7,66311.1,61694.1,58986.5,53372.1,51748.5,53744.4,55868.5,55424.8,50796.3,49037.8,49635.6,48090.9,41886.7,40120.8,36137.5,29304.7,24927.9,24998.4,25053,24957.7,25578.7,26907.8,26673.4,25722.9,27504.4,31034.9,36404.3,45173.6,44943.5,44777.9,51364.8,60650.6,59789.7,59942.6,62746.3,67769.6,77075.4,90938.1,99105.7,105887,112510,127664,125735,128920
183837,191681,199036,206756,214356,221534,228451,233181,232070,227909,223085,216142,212865,211946,210915,208674,193740,171040,154071,141900,134049,129294,127174,127309,126081,124648,122193,118977,114649,106996,98761.4,90072.7,82795.1,78467.1,75875.8,80274.8,80398.5,73308.8,67088.7,66311.1,61694.1,58986.5,53372.1,51748.5,53744.4,55868.5,55424.8,50796.3,49037.8,49635.6,48090.9,41886.7,40120.8,36137.5,29304.7,24927.9,24998.4,25053,24957.7,25578.7,26907.8,26673.4,25722.9,27504.4,31034.9,36404.3,45173.6,44943.5,44777.9,51364.8,60650.6,59789.7,59942.6,62746.3,67769.6,77075.4,90938.1,99105.7,105887,112510,127664,125735,128920
137024,327672,529734,102079,124657,295577,186624,471242,296591,122666,172400,186799,180881,88844.4,128275,213032,590198,53865.4,117210,166937,148843,303094,150209,81754.8,111616,35008.8,172699,102726,74669.4,215813,118961,63328,140094,52171.1,53377.9,83687.2,73312.1,89163.3,85506,77424.5,83086,65462.9,23844.4,55367,36361.6,109178,46794.2,80043.1,39329.5,78268.3,43955.6,30772.8,53833.4,40390.6,9644.91,28674.6,33392,14259.1,25626.2,22661.7,22267.4,26507.1,10072.8,30780.9,8220.85,37532.2,40512.6,36987,29479.1,52894.8,53742.6,65126.2,66819.9,34669.2,52155.5,101862,62150.1,85447.5,168018,129209,178084,60988,137593
60028.6,232638,272903,81142.6,277743,264993,164596,632293,206279,120786,138175,490014,313365,46100.9,150767,203695,294961,68517.5,108041,204998,285646,148692,105555,82397.6,85110.5,40723.3,198016,94407,104121,194999,182425,75853.5,111149,46638.5,18863.1,75104.3,99644.1,61904.6,67100.1,93880.5,86633.8,61187.4,17835,38732.7,37457.2,83146.6,68413.7,46949.1,32544,177416,26188.3,27306.9,65266.4,31550.2,10361.8,33185.3,36602.5,21818.9,11113.3,15614.2,19833.3,17847.3,8872.51,68094.3,10412.7,39246,39679.6,44277.7,21996,51444.3,39159.1,106413,81810.9,34530.3,53599.3,52787.4,44016.2,85126.4,114603,100354,105793,43573.5,90384.8
156692,305546,229445,55608.5,331985,342109,156478,194203,195043,111431,156136,1.1284e+006,301465,118822,177581,113345,324073,152429,243488,130351,118917,112945,142008,119558,46914.7,61850.8,138327,128436,69993.1,162840,59844.8,150860,172095,97531.8,19261.2,149322,51712.2,54144.3,124628,177036,52800.7,41334,40639.8,64269.3,36492.3,49248.9,56628,85840.3,37677.3,141358,35928.9,24334,42931.6,42575.4,35573.1,46758.7,54204.6,33948.9,11281.8,18276.1,18114.4,49652.2,31849.4,62630.3,15203.6,28869.8,63852.5,123141,32939.1,66577.3,70402.7,132137,71058.8,41053.9,61676.2,74375.6,48243.3,122719,231346,109520,87565.1,52805.9,86494.6
193696,94927.9,263378,180623,296181,355762,126249,111913,350812,128613,271576,598971,522604,57169.1,181274,292858,518506,53147.9,234332,138745,135069,227493,300415,187557,37681.6,44377.3,85714.9,177063,112057,339210,48587.3,92554.7,143546,34580.6,85773.2,371640,92271.1,57936.8,125269,85286.1,39320.9,80931.1,53411.5,70912.5,37068.8,76884.3,26761.2,95260.3,59529.4,110735,36564.3,22879.3,22581.5,42702.4,55760.1,43413.7,40446.2,51610.2,12888.9,27643.9,52526.2,46042.3,22901.1,67874.9,22005.5,13645.2,140147,73598.6,40551,49859.4,73616.4,78316.4,58580.8,31499.2,64883.7,46380.1,47587.9,153836,231626,82307.4,83859.9,228620,186610
73680.7,91221.6,201186,39475,430166,312657,79239.1,301504,708925,74357.7,242358,837448,351820,117143,178403,242865,544963,49515.1,556832,138636,75724.2,93405.9,117519,209537,47540.2,41783.6,134518,223701,176477,299450,55220.9,56204.5,230747,21549.2,29915.2,122880,300794,71244.6,24146.9,199431,36365.1,49227.1,60428.6,67474,85427,95813.6,26982.4,140737,40461.3,61744.9,20864.4,30590.5,39169.4,76937.9,59362.3,26839,25507.8,34821.6,16178.2,34833.1,45941.6,32533.7,24445.8,41258,32511.6,27412.7,80962.6,82576.5,40946.2,57470.8,135900,46943.7,82389.2,76592.2,40014.1,53869.4,51686.5,130622,152200,108323,58226.3,130207,197643
135794,186403,148942,58502.1,339993,397183,203209,400213,502363,191146,176250,1.30295e+006,306522,80873.5,237019,212857,231202,80947,427523,219447,146459,89014.9,73024,162449,46213.1,42867.1,88643.2,122401,444769,151475,59318.7,63960.2,136182,25148.3,86500.8,60380.2,209816,64657.2,47564.5,146967,64395.7,18716.4,75885.7,50575,82902.1,150389,28542,132944,39101.9,48340,8612.68,40707.1,53787.7,70131.5,62580,15329.6,38221.2,41020.4,19928.9,15356.6,36004.7,25425.1,5908.02,41510.6,30240,23436.6,72184.1,29834,69927.9,20119.6,63600.1,39202,57735.4,62391,53828.4,66601.7,30784.8,60454.3,329030,123076,20505.4,87244.7,91244.9
139555,262535,140067,152953,337517,269592,362938,145512,568899,157084,290765,1.11628e+006,71868.2,476090,80337.1,469064,363632,52987.8,209623,314273,119731,236410,84168.9,82123.1,46230.9,67629.8,63643.4,131903,67589.7,262774,49828,97904.7,169657,22479.1,81098.9,86447.5,135835,82363.2,50312.1,116271,69323.6,26774.4,26921.5,49297.8,109241,39709.8,102247,72006.4,35842.8,60507.3,7828.45,35551.7,51346.2,29679.9,47064.2,19381.1,59577,36711.8,11096.2,37392.7,48361.6,12038.8,10823.8,29627.8,17620.3,43257,19589,33333.2,52632.5,23729.2,38442.1,27018.3,23243.9,32354.3,142024,86646.7,48658.8,67041.1,72002.5,130270,39844.8,254203,97228.5
65018.6,265733,102556,87752.3,140016,537743,130930,109542,550980,101273,554764,1.2464e+006,116609,215149,135798,347812,243563,102019,124721,129586,98541.6,101517,228496,111312,56361.4,31931.6,223964,147965,198738,239969,18815.8,101365,234366,13754.7,71018.5,145543,90925.5,76831.5,74648.2,40826.1,76396,43380.5,33978.8,62318.3,87778.8,45946.5,106700,27916.8,64228.4,84118.4,16018,24213.9,69727.5,13901.8,34457.9,21198.8,84937.2,31576.3,10048.7,19451.3,39867.3,14284.9,4541.33,16607.4,41897.8,90986.2,4991.94,30404,43000.8,50254.7,54727.4,16442.8,22347.9,52270.6,104818,42195.9,49972.8,61876.7,36605.8,124711,35333.5,244225,73448.8
