sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
38635.2,36027.3,33669.3,31289,29229.5,27151.3,24454.4,21323,18139.1,15895,14469.7,13240.7,12465.6,12034.5,11687.7,11289.3,9841.87,8045.79,6871.37,6108.6,5625.93,5353.16,5227.22,5247.89,5197.83,5134.35,5009.77,4832.48,4601.97,4230.28,3891.9,3571.26,3272.87,3059.86,2881.59,2768.46,2700.45,2613.55,2524.89,2434.39,2359.49,2289.18,2140.73,2013.07,1977.66,1998.86,2026.87,2017.69,2004.52,1957.24,1828.69,1630.94,1486.76,1383.46,1252.2,1143.4,1047.1,990.236,970.373,954.026,954.302,967.315,1035.39,1164.13,1320.47,1492.08,1667.62,1843.24,2028.35,2235.08,2468.32,2742.47,3044.01,3337.85,3646.35,4007.91,4394.29,4769.45,5139.04,5528.52,5967.01,6479.13,7069.13,7712.02,8392.76
38635.2,36027.3,33669.3,31289,29229.5,27151.3,24454.4,21323,18139.1,15895,14469.7,13240.7,12465.6,12034.5,11687.7,11289.3,9841.87,8045.79,6871.37,6108.6,5625.93,5353.16,5227.22,5247.89,5197.83,5134.35,5009.77,4832.48,4601.97,4230.28,3891.9,3571.26,3272.87,3059.86,2881.59,2768.46,2700.45,2613.55,2524.89,2434.39,2359.49,2289.18,2140.73,2013.07,1977.66,1998.86,2026.87,2017.69,2004.52,1957.24,1828.69,1630.94,1486.76,1383.46,1252.2,1143.4,1047.1,990.236,970.373,954.026,954.302,967.315,1035.39,1164.13,1320.47,1492.08,1667.62,1843.24,2028.35,2235.08,2468.32,2742.47,3044.01,3337.85,3646.35,4007.91,4394.29,4769.45,5139.04,5528.52,5967.01,6479.13,7069.13,7712.02,8392.76
38635.2,36027.3,33669.3,31289,29229.5,27151.3,24454.4,21323,18139.1,15895,14469.7,13240.7,12465.6,12034.5,11687.7,11289.3,9841.87,8045.79,6871.37,6108.6,5625.93,5353.16,5227.22,5247.89,5197.83,5134.35,5009.77,4832.48,4601.97,4230.28,3891.9,3571.26,3272.87,3059.86,2881.59,2768.46,2700.45,2613.55,2524.89,2434.39,2359.49,2289.18,2140.73,2013.07,1977.66,1998.86,2026.87,2017.69,2004.52,1957.24,1828.69,1630.94,1486.76,1383.46,1252.2,1143.4,1047.1,990.236,970.373,954.026,954.302,967.315,1035.39,1164.13,1320.47,1492.08,1667.62,1843.24,2028.35,2235.08,2468.32,2742.47,3044.01,3337.85,3646.35,4007.91,4394.29,4769.45,5139.04,5528.52,5967.01,6479.13,7069.13,7712.02,8392.76
38029,35180.7,32754.7,30122.8,28181.3,26494.9,24427.8,23261.4,20365.5,16641.6,15071,13881.8,13524.1,14005.9,13301,11647,9368.07,7648.5,6376.76,4956,4247.26,5296.75,5858.76,5384.82,5483.07,5751.64,6231.34,6727.04,6461.8,5921.36,5331.56,4973.9,4571.83,3619.11,3462.46,3654.12,3320.23,3014.36,2912.69,2653.06,2395.74,2256.54,2035.23,2024.08,2052.91,2079.39,2139.43,1937.78,1864.27,1782.17,1747.02,1537.55,1473.68,1436.36,1289.71,1253.51,1185.45,1108.04,1065.94,1005.34,969.854,984.209,1006.13,1076.78,1200.11,1310.73,1442.52,1541.91,1660.5,1796.59,1943.38,2189.15,2454.38,2696.31,2993.05,3375.03,3769.33,4204.36,4573.5,4843.75,5313.97,5932.49,6534.2,7447.53,8453.9
41430.1,38094.2,35250.7,32934.9,31112.8,29110.3,26319.3,22790.3,18404.5,15587,14974.3,13988,14115.2,14303.4,13362.2,11985.5,10831.3,10509.2,8529.55,5416.78,3996.64,3924.59,4046.54,4393.95,4882.48,5674.35,6058.61,5752.58,5367.09,4992.23,4519.49,4263.38,3665.52,2541.19,2512.94,2903.02,2735.98,2365.11,2211.72,2110.48,2056.42,2043.53,1891.52,1898.21,1910.57,1915.8,1964.18,1683.43,1524.22,1483.66,1407.42,1333.87,1370.03,1372.73,1575.7,1611.28,1348.7,1215.99,1136.19,1044.92,1012.02,1007.61,1015.67,1043.67,1093.93,1170.42,1298.65,1400.58,1656.62,1966.26,2170.76,2431.88,2707.76,2928.1,3213.93,3578.74,4050.45,4656.1,5017.81,5212.68,5455.39,5698.06,6037.29,6582.16,7143.15
39183.2,33709.9,28673.8,26356,25307.9,24460.5,23263.7,21508.5,17177.1,14554.7,14051.6,12210.1,10732.2,9928.56,9637.09,9520.61,11816.3,14214.8,13259.2,12298,11024.7,9690.12,9537.98,10007.9,9159.38,8239.68,8065.79,7663.64,7161.07,6538.56,5868.02,5554.9,5163.65,4173.35,3697.97,3567.69,3806.89,4320.67,4517.32,4264.92,4038.24,3641.6,2979.98,2904.2,3401.87,3745.21,3741.09,3331.62,3047.49,2819.55,2407.19,1985.64,1875.29,1804.59,1975.56,2157.89,1669,1330.93,1306.26,1339.48,1431.46,1523,1573.81,1620.79,1707.14,1808.68,2015.5,2265.88,2560.53,2875.24,3126.92,3448.91,4039.75,4610.26,5026.63,5499.04,6077.99,6652.4,6884.77,6991.18,7254.79,7614.1,8062.34,8988.92,9898.16
39495.9,33539.4,26953.7,23225.2,21554.6,20549.8,19086.1,16026.7,12917.6,11871.4,12138.9,11194.4,9633.18,9439.95,9152.3,9206.04,10124.3,11752.8,11140,9842.93,10212.4,11748,12703.1,12740.4,11249.6,9902.44,10232.5,10644.8,9795.85,8451.14,7475.83,6375.55,5348.05,4388.63,4557.13,4626.84,4367.22,4574.94,4485.54,4083.83,4117.45,3767.05,2745.25,2452.11,2675.33,2724.65,2803.56,2699.35,2620.01,2399.68,2144.68,1823.2,1720.54,1655.77,1748.07,1843.94,1472.46,1179.92,1122.03,1227.68,1391.25,1454.89,1579.44,1787.41,1952.47,2207.22,2548.21,2771.87,3038.91,3422.69,3620.99,4065.37,4722.6,5088.28,5335.42,5621.16,5933.84,6183.55,6212.38,6226.04,6447.11,6751.77,7307.2,8450.64,9619.66
33579.3,29990.7,25849,22506,20837.5,18057.6,15446.8,13386.7,10995.5,10253.7,11034.1,10285.7,8691.75,9866.99,11532.6,10895.5,11773.8,13847.1,13405.2,12513.6,12285.5,13547.8,14823.8,15896.2,16003.5,14636.6,13493.5,12084.9,9653.04,7525.12,6460.79,5836.45,5702.49,5529.49,5900.16,5847.51,5379.2,5764.92,5959.58,5485.46,4779.91,4434.97,4147.74,3810.51,4068.78,4343.89,4060.93,3350.12,2946.42,2863.93,2844.54,2723.96,2620.9,2362.33,2162.08,2019.42,1577.13,1323.76,1379.19,1526.57,1601.66,1562.49,1620.68,1771.76,1921.77,2147.4,2376.14,2538.86,2719.72,2976.67,3216.68,3550.23,4070.36,4547.26,4890.84,5488.69,6074.85,6393.77,6706.52,6862.18,6984.88,7181.35,7574.74,8257.43,8985.12
26402.4,23772.5,20592.2,17952.3,15975.1,13776.9,12661.3,10705.1,8828.59,9007.92,10007.1,8853.27,7299.15,8320.81,10906.3,10868,12107.8,13924.9,13791.2,13543.1,13483.5,13539,13515.1,13758,13893.9,13626.4,12824.1,11208.9,8964.54,7335.29,6418.54,5779.21,5528.48,6085.92,6825.16,6767.04,6230.17,5651.29,4865.97,4481.28,4252.42,4177.18,3917.73,3580.62,3774.14,4058.39,3813.48,3389.16,3298.1,3341.71,3332.29,3128.29,2810.51,2456.31,2269.95,2012.81,1568.68,1296.28,1259.97,1356.57,1415.62,1395.33,1475.35,1637.93,1731.37,1836.48,1973.24,2035.72,2137.7,2355.46,2538.28,2842.72,3159.81,3452.05,3707.33,3932.39,4223.53,4473.36,4748.96,4968.33,5296.08,5822.81,6260.62,7395.75,8861.22
23934.9,21416.6,17362.9,14144.4,12332.2,10881.9,10353,8855.22,7086.2,7043.57,7743.11,7012.09,5350.69,6268.98,8517.43,9115.55,11255.3,10721.4,10274.2,11152,11504.4,13001.8,13298.4,12071.9,11448.3,11546.1,11330.5,10032.1,8178.4,6835.57,5463.46,4358.23,4159.77,3674.68,3383.8,3202.71,2935.22,2815.35,2268.63,2183.51,2416.33,2476.93,2268.92,2011.86,2097.03,2336.57,2387.17,1971.98,1790.2,1891.17,1647.77,1625.33,1685.88,1427.69,1252.19,1146.59,828.276,666.222,697.116,785.823,820.828,879.815,1069.1,1261.45,1434.24,1694.56,1871.83,1915.37,2002.97,2099.38,2252.49,2436.11,2559.79,2756.17,2921.33,3035.01,3191.66,3408.39,3618.28,4130.34,4887.6,5391.94,5813.61,6265.74,7028.5
