rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
103016,106578,109321,112404,115194,117831,121161,124088,126757,128669,130360,131794,132976,133397,134114,134191,133285,131643,130181,128859,127866,126399,125003,123022,119819,117402,114805,111977,108387,102063,94876.6,86822.5,79590,74866.5,71955.1,75139.8,77747.8,71897.5,66663.4,62658.1,57635.2,54863.8,51518.8,48644.4,50443.4,52052.7,53004.7,48962.8,47745.5,47617,44809.5,37228.6,34359.5,31368.6,25774.9,23727,24648.7,24361.1,23812.8,24276.8,25529.7,24822.2,23700.8,25360.9,28849,34105.4,42317.1,42680.7,42626.5,47541.7,60464.8,65528.2,67793,72012.8
103016,106578,109321,112404,115194,117831,121161,124088,126757,128669,130360,131794,132976,133397,134114,134191,133285,131643,130181,128859,127866,126399,125003,123022,119819,117402,114805,111977,108387,102063,94876.6,86822.5,79590,74866.5,71955.1,75139.8,77747.8,71897.5,66663.4,62658.1,57635.2,54863.8,51518.8,48644.4,50443.4,52052.7,53004.7,48962.8,47745.5,47617,44809.5,37228.6,34359.5,31368.6,25774.9,23727,24648.7,24361.1,23812.8,24276.8,25529.7,24822.2,23700.8,25360.9,28849,34105.4,42317.1,42680.7,42626.5,47541.7,60464.8,65528.2,67793,72012.8
103016,106578,109321,112404,115194,117831,121161,124088,126757,128669,130360,131794,132976,133397,134114,134191,133285,131643,130181,128859,127866,126399,125003,123022,119819,117402,114805,111977,108387,102063,94876.6,86822.5,79590,74866.5,71955.1,75139.8,77747.8,71897.5,66663.4,62658.1,57635.2,54863.8,51518.8,48644.4,50443.4,52052.7,53004.7,48962.8,47745.5,47617,44809.5,37228.6,34359.5,31368.6,25774.9,23727,24648.7,24361.1,23812.8,24276.8,25529.7,24822.2,23700.8,25360.9,28849,34105.4,42317.1,42680.7,42626.5,47541.7,60464.8,65528.2,67793,72012.8
215912,149205,103053,83345.4,90735.7,173523,67494.7,191440,130438,152937,126407,152780,127403,160433,89478.9,173017,366527,129032,247770,33827.4,187456,90613.4,70148.2,211662,38099.9,58021.4,123418,89821,217150,62683.8,165728,54444.9,141318,88864.5,58039.6,108166,22665.8,104230,112980,66132.8,111711,39154.3,68149.2,48807.1,37407.8,58730.6,45720.7,106061,31625.2,40818.1,23982,44617.5,95974.6,15536.2,14735.4,24623.3,19303,16875.3,25548.8,29531.7,22502.1,33327.9,19403.4,20349.1,38603.5,26530,46036.6,38090.4,18516.6,36100.5,112124,38871.2,76807.7,98836.1
248585,388060,112719,66531.7,112336,352677,54494.1,53123.2,365813,81773.9,144294,130904,87628.8,281813,67592.8,203311,141007,122976,145924,65747.5,230511,156802,103960,199042,25602.6,51969.3,102347,69521.4,77764.3,98853.7,239617,87571.9,130556,124007,17745.2,63888.4,43620,127699,84847,79122.8,70125.8,56527.9,69023.2,50777.3,26373.9,58410,22698.2,122982,53934.5,39655.2,22209.9,81392.4,64471,15845.7,10066.9,37244.3,31794.1,15606.4,25170.3,27635.9,12867.3,25260.3,11154.5,26159.4,38783.5,28834,68536.6,26246,36769.9,31364.4,126108,26212.3,73744.9,52813.8
82124.4,367914,114064,14683.5,100324,339689,70427.8,182672,132247,210625,141055,153608,497347,235732,98569.5,195258,200894,115705,117964,68227.6,316041,619911,136829,45982.8,45659.7,61078.8,51628.7,107602,89740.6,97027.3,351242,82438.6,49059.2,258819,17108.9,87435.6,43075.4,111245,27128.5,153311,122611,134344,83411.5,24529.1,15660,118588,69646.8,54681.8,33708.7,40246.9,30647.3,27874.6,48064.6,73678.8,14784.6,36904.8,44388.3,14357.6,21653,57048.2,20667.1,31775.8,23423.6,12288.9,36985.5,68672.7,61050.3,21788.5,54819.6,82154.6,189157,27553,37568.8,105759
169639,228490,57021.7,45822.7,122318,534905,71879,548314,118951,153246,127669,125384,848454,384597,126685,79244.9,154708,168248,322956,66945.9,216713,216152,126319,97681.7,36028.8,107543,13120,119551,63229.3,292867,74711.1,123299,74512.7,368889,10691.6,88773.3,176122,146302,22700.6,81608,90503.3,131448,46393.7,31506.9,24387.6,93817.2,49610.8,9196.39,55904.6,31892.3,32776.1,64957.2,26969.3,68774.9,14271.7,33551.2,77516.7,15143.3,12870.1,22302.4,39981.5,31205.5,32090.9,8080.82,31136,74674.4,15202.2,19557.2,44328,140541,256181,21750.4,14833.1,46530.3
204914,341762,83476.9,60343.6,69141.6,185988,35523.8,580795,96172.5,174727,77741.7,192458,675969,350596,149028,190894,92505.3,75612.6,493639,56017.9,300882,177143,109442,84977.4,36390.1,84343.7,57022.4,114696,149046,128782,78044.1,189903,159985,202849,10725.5,78824.6,145389,128843,21724,62236,57740.8,228533,76182.9,30292.1,12213.6,86242.7,50711.4,23787.9,30852.7,25102.2,52803.4,65847.9,12449.2,53340.9,14913.4,23821.2,117800,29963.1,19916.9,35496.1,61992,28261.5,49823.7,11899.1,22544.4,141774,16763.1,15585,232057,149971,103894,17088.2,16965.7,55697.9
57994.5,182551,100030,45298.8,58163.4,351432,42104.2,305362,71391.4,167980,61534.3,423827,157216,165487,257800,635824,147286,30627.2,216890,109372,207423,250024,187973,123416,52466.1,27120.4,62811.7,163209,190354,153227,43603.3,130976,41905.3,155094,6901.5,59246.7,87225.2,121754,19448.9,70420.4,66492.4,192440,27758.5,71391.1,11668,137627,19267.9,51205.2,41901.9,31924.2,39579.8,59908.3,12515.4,47678.7,6163.25,14708.9,61890.9,21591.4,29878.3,12369.1,31430.5,7629,13050.7,7065.45,52305.7,41741.8,5830.32,19164.5,175118,67790.7,75389.7,17659.2,54896.5,87677.6
103186,95434.8,148532,59789.9,80333.3,252247,60846.8,273055,147685,69205.4,36408.8,186406,120057,180555,775122,331390,211103,26897,111619,129616,240276,253111,66946.3,54455.3,44010.7,28094.6,61263.6,207609,221941,227168,114807,27934.1,55768,238334,20233.2,59091.2,75895.6,146620,85449.3,86275.4,43566.8,158857,43943.2,41185.8,10976.1,154561,19380.1,33724.4,18036.9,90289.2,40589.5,71474.1,21566.2,40487.4,6167.89,28723.8,33580.5,23930,30548.1,33281.6,18488.4,5974.53,17743.2,10304,19166.2,28502.1,13544.9,55582.3,136598,75162,36365.9,18596.1,42621.7,88160.4
33002.3,96969.6,140949,72206.3,73748.7,271346,74202.4,221319,151619,35919.7,56817.7,75024.7,94406.9,84531.8,160767,379300,130291,43741,81292.7,79834.5,238739,322473,55963.2,49009.1,32289.2,39422,70144.8,286595,149452,178117,43626.1,20879.2,44661.3,174793,11723.7,106320,85455.2,44417.9,285852,38836,111053,100087,19425.7,50885,53887.1,94808.2,30868.8,12620.7,17223.1,97156.6,13334.8,59323.8,21100.2,47574.3,4202.6,13240.1,60473.7,17079.8,12334.2,30276,18265.2,7742.8,11889.3,7863.43,26084.1,64682.7,36553.4,34551.9,56693.6,47271.6,17755,14097.2,31550.5,126371
