sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
20659.4,19484.2,18621.6,17659.2,16844.3,16048,14961,13760.7,12611.8,12050.7,11370.7,10766.9,10131.8,9397.41,8969.35,8492.17,7942.17,7404.79,7000.64,6685.99,6420.23,6189.57,5981.13,5788.02,5512.66,5318.97,5124.34,4907.92,4645.64,4241.63,3863.55,3508.48,3179.98,2942.42,2752,2626.36,2546.01,2451,2349.06,2241.3,2149.6,2077.53,1944.47,1833.81,1801.38,1815.35,1833.72,1822.62,1813.31,1769,1644.62,1464.34,1345.24,1262.42,1144.37,1037.2,935.736,865.351,825.848,801.026,805.318,826.742,900.157,1030.72,1186.62,1356.5,1528.05,1695.97,1870.72,2066.62,2289.07,2550.07,2838.94,3129.08,3441.84,3824.28
20659.4,19484.2,18621.6,17659.2,16844.3,16048,14961,13760.7,12611.8,12050.7,11370.7,10766.9,10131.8,9397.41,8969.35,8492.17,7942.17,7404.79,7000.64,6685.99,6420.23,6189.57,5981.13,5788.02,5512.66,5318.97,5124.34,4907.92,4645.64,4241.63,3863.55,3508.48,3179.98,2942.42,2752,2626.36,2546.01,2451,2349.06,2241.3,2149.6,2077.53,1944.47,1833.81,1801.38,1815.35,1833.72,1822.62,1813.31,1769,1644.62,1464.34,1345.24,1262.42,1144.37,1037.2,935.736,865.351,825.848,801.026,805.318,826.742,900.157,1030.72,1186.62,1356.5,1528.05,1695.97,1870.72,2066.62,2289.07,2550.07,2838.94,3129.08,3441.84,3824.28
20659.4,19484.2,18621.6,17659.2,16844.3,16048,14961,13760.7,12611.8,12050.7,11370.7,10766.9,10131.8,9397.41,8969.35,8492.17,7942.17,7404.79,7000.64,6685.99,6420.23,6189.57,5981.13,5788.02,5512.66,5318.97,5124.34,4907.92,4645.64,4241.63,3863.55,3508.48,3179.98,2942.42,2752,2626.36,2546.01,2451,2349.06,2241.3,2149.6,2077.53,1944.47,1833.81,1801.38,1815.35,1833.72,1822.62,1813.31,1769,1644.62,1464.34,1345.24,1262.42,1144.37,1037.2,935.736,865.351,825.848,801.026,805.318,826.742,900.157,1030.72,1186.62,1356.5,1528.05,1695.97,1870.72,2066.62,2289.07,2550.07,2838.94,3129.08,3441.84,3824.28
24269.1,23103.5,22213.5,21273.6,20574.3,19942.3,18876.7,17351.9,15877.8,14980,13773.8,12693.2,12163.7,11655.6,11176,10739,9863.11,8926.54,8521.79,8056.38,7939.05,9193.1,9887.25,9960.92,9805.07,9113.84,8616.27,7973.37,7463.58,6268.76,5078.04,4342.6,3673.19,3376.48,3031.06,3083.62,3069.83,3068.38,3395.05,3511.62,3571.78,3420.33,2937.02,2864.52,2920.37,3017.06,3044.03,2864.42,2681.87,2512.46,2451.44,2166.14,1977.63,1981.83,1731.31,1495.04,1397.44,1464.35,1495.36,1303.4,1160.98,1122.47,1131.88,1206,1348.87,1488.04,1647.53,1814.22,1938.43,2129.48,2336.97,2536.05,2791.91,3014.17,3198.9,3692.98
27243.3,26365.5,25487.8,24556.7,24236.1,23748.6,23169.7,22489.6,21272,20140.3,19161.2,18487.7,17113,16315.4,15979.6,14886,13654.3,12477.8,12081.7,10790.4,9623.78,9728.55,9318.6,8609.72,8008.49,7909.56,8373.68,8330.25,7959.76,6758.79,5427.18,4512.95,3733.98,3149.68,2778.77,2978.76,3174.4,3376.73,3718.46,3661.71,3369.73,3129.19,2982.32,3058.8,3250.92,3394.4,3445.77,3348.27,3159.47,2912.12,2793.77,2193.86,1864.3,2008.13,1917.15,1661.72,1593.56,1656.61,1611.03,1397.76,1229.88,1218.1,1240.96,1275.8,1384.87,1467.58,1559.51,1660.38,1772.66,2004.83,2242.85,2554,2885.15,3163.63,3412.01,3915.68
23215.6,22363.4,21555.5,20704.3,20320.1,19442,18525.5,17641.9,16214.2,15302.4,14878.6,14564.1,14167.8,13522.6,13042.6,13034.3,12681.5,13379.3,14081.7,12772.6,11814,11673.6,11007.7,9580.63,8725.09,9135.96,11231,12925.8,12292.4,10016.9,7930.06,5900.16,4502.76,3721.56,2884.44,2965.67,3252.78,3336.94,3811.68,4105,4076.12,3919.45,3195.23,2752.05,3104.81,3747.63,4349.69,4637.81,4484.62,4092.63,3908.29,3333.31,2775.79,2631.23,2205.48,1866.96,1745.87,1714.82,1822.43,1786.62,1661.45,1698.26,1784.32,1836.82,2027.99,2224.51,2323.68,2446.64,2560.27,2707.18,2994.32,3397.43,3748.57,4150.67,4630.71,5465.41
22868.3,22142.2,21428.1,20734.2,19857.6,18896.1,18031.2,16634.8,15458.9,15166.7,16182.7,17001.2,18034.9,19063.9,18719,18816.7,18022.8,18967.5,20955.8,20037.7,17928.2,16416.8,14784,13505.6,12237.8,10893,10505.8,10399.1,9932.43,8654.52,7233.86,5889.07,4718.98,3138.3,2306.61,1834.74,2151.86,2640.56,3529.58,4152.26,4175.82,4375.56,4169.93,3793.31,3802.22,3965.22,4299.41,4409.75,4079.76,3561.31,3201.18,2856.71,2453.33,2224.59,1898.35,1619.24,1495.48,1414.35,1520.28,1590.28,1558.64,1710.56,1841,1868.64,1954.15,2091.57,2241.27,2388.38,2510.41,2578.5,2817.29,3092.61,3348.82,3818.67,4515.49,5783.5
22975.3,21561.4,20269.8,19676.8,19131.2,18679.7,18358.1,17086.4,15443.7,14674,14055.2,13361.1,13944.5,14362.7,13781.4,13963.2,14166,15827.6,18190.5,18234.1,17264.4,15997.4,13891.3,13351.6,13283.1,12796,12866.3,12574.5,11418.4,9632.22,8189.74,7114.21,4778.53,3064.06,2184.33,2089.79,2777.06,3433.04,3993.7,4235.74,3764.63,3607.06,3471.75,3207.42,3298.62,3419.38,3983.3,4502.77,4353.3,3845.38,3458.69,3009.76,2541.05,2316.43,2036.41,1823.11,1767.6,1631.76,1611.53,1686.11,1649.85,1877.62,2212.25,2395.84,2584.43,2868.29,3092.57,3274.95,3505.82,3570.63,4004.07,4709.67,5056.84,5885.4,7086.39,7853.25
20481,19286.3,18327.5,17567.8,16839.2,15651.1,14102.5,12681,11405.8,10745.8,10657.4,10540.2,10420.8,9988.85,9094.89,8418.99,8316.8,8703.26,9628.94,10571.7,11829.5,12748.1,12178.3,11568.8,11385.3,11370.5,10593.4,9856.41,9624.23,8655.08,7616.41,6412.87,5814.69,5539.25,4779.87,4076.6,3931.32,3715.23,3704.03,3488.09,2903.17,2495.94,1974.19,1645.81,1737.76,2005.44,2689.32,3058.76,3049.18,2934.14,2843.74,2439.41,2040.95,1943.31,1689.44,1388.29,1225.56,1096.92,1072.52,1075,999.801,1091.76,1247.78,1377.1,1489.9,1577.68,1639.1,1677.47,1724.9,1849.24,2145.66,2479.79,2723.86,3403.22,4263.88,4819.99
20616.3,18806.1,17787.9,17198.8,16491.5,15703.1,13913.5,12100.7,10814.7,10189.6,10019.5,9896.79,9389.54,8651.54,7872.9,7295.65,7125.43,7673.75,8542.1,10384.9,11607.1,11951.3,11925,10901.1,10160.1,10331.3,10075.6,9122.46,8083.87,6461.07,4893.22,3933.25,4019.01,4056.02,3387.6,3175.3,3368.47,3248.12,3583.04,3405.04,2858.51,2541.76,1817.46,1636.53,1996.7,2278.43,2811.11,3201.32,3209.96,2901.43,2486.95,1823.69,1418.65,1299.95,1252.76,1177.08,1069.02,947.129,850.606,711.043,641.96,711.629,831.192,988.136,1185.21,1349.74,1399.74,1435.87,1498.15,1558.66,1743.26,2038.14,2408.2,3090.86,3842.79,4292.45
