ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
344962,0.770188,0.199888,0.199888,80715.9,148.425,0.26,0.735, 40348.3, 13722.5, 2732.76, 0.350258,0.100797,6.92536e-005,3657.54,261.504
344962,0.770188,0.199888,0.199888,80715.9,148.425,0.26,0.735, 40348.3, 13722.5, 2732.76, 0.350258,0.100797,6.92536e-005,3657.54,261.504
344962,0.770188,0.199888,0.199888,80715.9,148.425,0.26,0.735, 40348.3, 13722.5, 2732.76, 0.350258,0.100797,6.92536e-005,3657.54,261.504
418932,0.607715,0.199888,0.199888,80959.1,12966.4,0.26,0.735, 49000.1, 18990.5, 2796.32, 0.236635,0.0592586,6.01022e-005,3713.83,290.007
479726,0.538505,0.199888,0.199888,72973,3.84602,0.26,0.735, 56110.9, 23048.5, 2903.43, 0.195326,0.0625481,7.00592e-005,3093.19,305.967
393987,0.616887,0.199888,0.199888,88002.4,56.1138,0.26,0.735, 46082.5, 17726.6, 2660.38, 0.242347,0.04312,4.39701e-005,5361.91,318.685
430049,0.436542,0.199888,0.199888,90120.7,625265,0.26,0.735, 50300.4, 22751.2, 2141.42, 0.138545,0.033235,4.00205e-005,5162.25,334.875
427772,0.444705,0.199888,0.199888,87563.9,1088.12,0.26,0.735, 50034.1, 22439.6, 2170.49, 0.142972,0.0389248,3.03399e-005,9540.8,337.328
391883,0.54531,0.199888,0.199888,81262.3,42.7882,0.26,0.735, 45836.4, 18717.5, 2397.04, 0.199265,0.0459946,4.05535e-005,6839.04,330.107
394235,0.662213,0.199888,0.199888,79966,9.65152,0.26,0.735, 46111.5, 17101.4, 2807.5, 0.271583,0.0653443,5.41691e-005,5744.87,330.166
408599,0.707979,0.199888,0.199888,65453.7,565.836,0.26,0.735, 47791.6, 17088.3, 3053.29, 0.303129,0.0781527,6.62699e-005,3874.79,334.503
250663,0.92271,0.199888,0.199888,64690.5,19540,0.26,0.735, 29318.7, 8727.26, 2238.36, 0.50035,0.0977164,6.22744e-005,5517.62,341.156
234638,0.9439,0.199888,0.199888,63873.9,2944.86,0.26,0.735, 27444.3, 8000.06, 2126.56, 0.527551,0.10606,5.56894e-005,6417.55,358.129
204665,0.838917,0.199888,0.199888,66516.3,138.629,0.26,0.735, 23938.5, 7688.14, 1716.95, 0.410158,0.10621,5.49416e-005,6206.22,358.849
239564,0.817937,0.199888,0.199888,63709.9,15109.7,0.26,0.735, 28020.5, 9160.99, 1976.22, 0.390809,0.119818,6.9175e-005,4273.15,362.874
249809,0.79979,0.199888,0.199888,61036.9,808.972,0.26,0.735, 29218.8, 9698.65, 2030.05, 0.37487,0.185122,8.05647e-005,3981.8,376.673
276049,0.578734,0.199888,0.199888,69501.4,245.336,0.26,0.735, 32287.9, 12816.6, 1772.96, 0.218979,0.105406,5.80913e-005,4745.2,374.423
324828,0.548644,0.199888,0.199888,65297.6,100926,0.26,0.735, 37993.4, 15470.3, 1997.05, 0.201204,0.155062,6.43227e-005,4261.5,383.587
317730,0.597625,0.199888,0.199888,66069.8,140.552,0.26,0.735, 37163.1, 14522.7, 2093.31, 0.230423,0.100598,5.60419e-005,5111.12,371.521
362176,0.512326,0.199888,0.199888,65071.4,2.17962,0.26,0.735, 42361.7, 17808.1, 2099.51, 0.180378,0.102951,5.8957e-005,4749.38,368.545
384098,0.550284,0.199888,0.199888,71627.7,170209,0.26,0.735, 44925.9, 18267.4, 2367.33, 0.202159,0.0849864,4.35135e-005,7850.15,371.694
274540,0.629601,0.199888,0.199888,67710.9,6.87159,0.26,0.735, 32111.5, 12225.6, 1882.88, 0.250372,0.118882,6.10075e-005,5028.44,358.362
291374,0.65196,0.199888,0.199888,66554.5,23297.2,0.26,0.735, 34080.4, 12743.7, 2051.25, 0.264811,0.101661,5.90974e-005,4368.91,361.417
307586,0.609278,0.199888,0.199888,69207.8,223221,0.26,0.735, 35976.6, 13925.3, 2057.19, 0.237604,0.0965092,5.67156e-005,4871.4,358.083
267877,0.758477,0.199888,0.199888,74693.1,557.116,0.26,0.735, 31332, 10757.9, 2100.01, 0.340945,0.0968071,4.57433e-005,5920.66,353.879
272109,0.71853,0.199888,0.199888,70581,2.98748e+006,0.26,0.735, 31827.1, 11284.5, 2054.66, 0.310744,0.108641,5.59771e-005,5027.93,346.976
273097,0.77169,0.199888,0.199888,69809.2,187.881,0.26,0.735, 31942.7, 10850.5, 2166.32, 0.351468,0.0924842,5.16159e-005,5050.87,348.809
240173,0.697896,0.199888,0.199888,60996.6,11654.5,0.26,0.735, 28091.8, 10125.7, 1776.53, 0.295979,0.0918323,6.03506e-005,3797.5,354.059
240759,0.613168,0.199888,0.199888,59749.6,2.30958e+006,0.26,0.735, 28160.3, 10865.3, 1618.18, 0.240023,0.0811008,6.99668e-005,3176.45,347.801
279996,0.59825,0.199888,0.199888,71488.8,11708.9,0.26,0.735, 32749.6, 12791.4, 1846.22, 0.230805,0.0492944,4.48794e-005,5331.96,342.548
222695,0.634906,0.199888,0.199888,62492.3,2.76807,0.26,0.735, 26047.4, 9874.5, 1537.02, 0.253759,0.0588433,6.4992e-005,3372.44,341.164
274247,0.632924,0.199888,0.199888,61494.9,28.1931,0.26,0.735, 32077.1, 12179.8, 1888.36, 0.252491,0.0761156,6.74701e-005,3687.1,343.032
186562,0.743153,0.199888,0.199888,71178.8,1083.8,0.26,0.735, 21821.2, 7585.54, 1442.16, 0.329088,0.0618539,5.66672e-005,3695.68,344.063
220386,0.647353,0.199888,0.199888,66247.5,12.8969,0.26,0.735, 25777.4, 9674.68, 1543.35, 0.2618,0.0669136,7.21716e-005,2705.98,342.732
239933,0.582283,0.199888,0.199888,66012.3,1627.24,0.26,0.735, 28063.6, 11106.9, 1548.56, 0.221111,0.0493019,6.18566e-005,3153.26,355.271
207453,0.647264,0.199888,0.199888,60221.9,7306.4,0.26,0.735, 24264.7, 9107.58, 1452.63, 0.261742,0.0822794,9.65039e-005,2041.3,361.411
217045,0.473476,0.199888,0.199888,63769.4,22073.6,0.26,0.735, 25386.5, 11064.5, 1170.71, 0.15871,0.0553818,6.35498e-005,3632.74,355.216
237298,0.53406,0.199888,0.199888,62717.7,115965,0.26,0.735, 27755.4, 11445.2, 1426.11, 0.192766,0.0598958,6.61678e-005,3476.8,355.524
206845,0.436441,0.199888,0.199888,67399.9,41.2971,0.26,0.735, 24193.5, 10944, 1029.74, 0.138491,0.0474384,5.19323e-005,4066.32,354.063
