rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
183765,191169,198744,206619,214044,221071,227912,232640,231718,227717,222998,216215,212891,211826,210676,208370,193661,171224,154339,142168,134263,129479,127377,127591,126488,125143,122663,119306,114842,107271,99591.7,91648,84697.5,80306,77349,78616.7,79458,74220.2,69828.1,66282,61404.3,58681.4,54886,52180.1,53827.6,54977.8,55684.4,52049.7,50543.2,49898.9,47140.2,39534.4,37208.6,34363.7,27943.1,25119.9,26104.5,26293.7,25784.9,26312.7,27415.7,26404.1,25219.5,26810.3,29991.1,35720.4,44752.4,44076.8,45071.5,51958.3,65964.3,71190.8,74225.4,80551.7
183765,191169,198744,206619,214044,221071,227912,232640,231718,227717,222998,216215,212891,211826,210676,208370,193661,171224,154339,142168,134263,129479,127377,127591,126488,125143,122663,119306,114842,107271,99591.7,91648,84697.5,80306,77349,78616.7,79458,74220.2,69828.1,66282,61404.3,58681.4,54886,52180.1,53827.6,54977.8,55684.4,52049.7,50543.2,49898.9,47140.2,39534.4,37208.6,34363.7,27943.1,25119.9,26104.5,26293.7,25784.9,26312.7,27415.7,26404.1,25219.5,26810.3,29991.1,35720.4,44752.4,44076.8,45071.5,51958.3,65964.3,71190.8,74225.4,80551.7
183765,191169,198744,206619,214044,221071,227912,232640,231718,227717,222998,216215,212891,211826,210676,208370,193661,171224,154339,142168,134263,129479,127377,127591,126488,125143,122663,119306,114842,107271,99591.7,91648,84697.5,80306,77349,78616.7,79458,74220.2,69828.1,66282,61404.3,58681.4,54886,52180.1,53827.6,54977.8,55684.4,52049.7,50543.2,49898.9,47140.2,39534.4,37208.6,34363.7,27943.1,25119.9,26104.5,26293.7,25784.9,26312.7,27415.7,26404.1,25219.5,26810.3,29991.1,35720.4,44752.4,44076.8,45071.5,51958.3,65964.3,71190.8,74225.4,80551.7
372431,224843,150543,135115,128433,430302,125287,361109,167374,302232,218149,239566,140010,204347,127594,379489,569902,147903,218328,38412.4,149078,104278,64422.4,231235,48446.6,83072.8,138879,133479,220490,61638.1,137533,68153.6,126899,121667,69263.3,116206,22109.9,96039.6,120623,84773.5,116194,49953.2,65506.3,52718.8,38168.2,49186.9,54861.2,110236,30070.2,43766.4,28895.6,44333.9,107171,16705.7,17158.9,29878.2,19237.2,20228.2,27054.2,31155.5,27610.8,40644.8,29350.7,21986,34501.9,32259.2,48153.9,40684.1,26920.4,45214.4,149275,38527.4,59688.6,95189.3
434677,686231,160812,74671.8,133748,875016,159812,104591,357713,126169,288314,200279,115546,362999,84535.2,393141,215184,185210,168848,84065.1,169239,147283,68719.3,226663,24313.3,89844.6,105699,112000,92569.1,100348,240131,82651.4,82745.2,215147,28832.4,59786.7,32129.4,133219,85213.2,79457.9,79138,50119.6,66955,57259.7,25251.4,51234.7,27644.7,137567,57543.4,40200.7,29082.6,64133.5,77341.5,17197,11516.3,39471.6,24685.5,22338.3,20573.8,26553.5,17072.7,28061.9,9469.92,18085.6,42186.2,25904.2,56134.8,27195.7,28037.1,33865.4,93370.1,36436,40343.7,36049
157512,766949,128285,21676.7,128113,899440,353729,215998,150761,325477,256715,297442,382103,319598,119573,445984,193625,250283,148198,74265.5,248240,273912,106362,73858.7,44004.6,62495.6,72824.9,149768,114515,94222.4,387562,101255,37023.4,244574,19579.3,119810,27369.4,163914,30887.3,135966,93750.1,125700,94434,32604.6,22870.5,110021,39535.5,79366.5,38993.5,44628.5,27537.5,23942.1,61103.4,98493.6,16346.6,46033.5,34375.3,26421.3,23568.9,82817.3,46565.7,42127.1,21394.4,12450.3,50945.1,63257.6,74986.3,24606.8,71946.7,93291.7,124609,64858.3,39521.3,111516
577572,353332,155966,74374.4,286273,731287,134815,833610,108987,291935,227826,302693,640710,520405,127107,182834,105221,308653,514799,136272,292750,132869,48720.1,99596.3,46222.3,132313,29369.3,176939,33765.5,327263,87778.7,189409,88854.4,372875,13764,105514,82293.4,295396,46521.7,117320,74207.8,118282,44578.3,53594.9,31358.7,135054,55249,9921.82,81039.4,53905.2,25104.4,32924,50625.7,146225,17246.5,37573.3,76967.6,27342.4,29699.8,24663.7,54745.8,54613.2,36972.9,9248.27,39595,64941.8,29780.1,20872.4,48323.8,179391,125061,41368.6,15964,46326.1
619312,301843,128816,284412,94993.2,299882,68406.3,798494,74313.6,469598,233435,265963,803383,360805,138536,211219,33439.6,154262,450774,111358,362535,204390,77709.7,117551,46448.5,62281.8,68541.3,155254,171351,226185,74452,89098,144658,252509,15129.8,92099.9,82724.2,179130,47760.3,95352,30389.1,245667,61780.1,48543.4,17525.9,163207,54615.1,16179.4,37115.3,41703,63875.9,65237.4,20675,91780.9,12641.4,20722.1,120634,76088.2,30226.5,29465.7,141387,55085,56371.6,10840.2,24936,165768,23029.6,13055,316500,215411,61661.6,127912,18655.8,33927.3
107812,208316,184977,158015,91616.6,780716,96469.3,500551,97296,304175,280384,315996,275095,474564,269092,812754,130905,62826.6,138275,119581,237814,293854,146757,215412,28243.6,22846.4,118430,92651.2,163603,287046,42548.9,78893.4,63943.5,196893,11868,146426,28452.6,175862,24293,69393,30812,240548,29991.4,73434.8,13622.3,253428,38871.3,31163.7,58975,27289.2,41741.2,53190.2,26963.2,119955,8160.8,17802.5,33017.1,58639.2,84784,11094.8,100314,16467.1,28155.5,10614.7,39805.3,59947.9,22753.4,25871.4,258426,94406.4,116301,165478,39015.3,40158.1
241124,199764,133847,260146,67420.1,469556,121195,409684,186646,141525,402935,185644,220356,805983,524666,448482,211405,50972.9,214865,127598,478053,190018,83697.7,73627.3,26529.9,53272.4,73610.5,92921,211780,312620,116015,24130.3,85098.7,199818,25591.4,133811,21088.9,175164,57584.9,73366.5,35039.1,152980,42250.3,29371.6,10348.7,194358,25618.8,33336.1,36827.1,99172.1,26697.6,37352.2,37920.1,91913.6,6901.36,36126.9,20013.8,32696.8,45299.2,27832.1,56045.5,15420.9,23713.8,7316.33,29536.4,37256.6,26049.9,51515.6,219032,85530,60559,202867,43288.1,71505.5
79576.7,205337,81901.1,305511,51797.5,518147,147978,329253,216257,88835.4,656434,107665,122479,233182,157274,549798,131275,91665.7,144097,70803.5,460801,276414,65509.7,65782.5,31411.8,41639.5,73482.5,132589,129219,125446,58582.3,25762.7,54982.9,168326,12211.8,191787,38233.8,56019.1,166402,59853.7,82951.1,47030.4,39981,33547.6,31926.5,152757,44804.8,19867,24169.5,135294,8595.69,51573,26396.8,112962,3782.7,16186.3,27127.3,41049.3,21057.1,20157.4,33940.9,18571.9,10777.6,5951.73,54465.7,30509.5,75656.4,27587.2,66674.1,55970.9,46725.8,91935.3,41315,37076
87309.5,197478,144763,112114,27645.9,240042,236492,111823,608913,25537.6,285018,69814,202405,443904,426710,500036,57155.7,68380.9,121273,97296.7,488108,272402,48270.1,61632.3,88396,12111.7,46609.6,148255,192454,169801,243209,43878,34135.8,97428.5,11062.2,162513,99590.1,50537.8,129994,140167,34084.6,60454.4,72875,31112.7,16150.7,129883,47068,23470.1,25644.2,79575.9,9211.18,34273.3,35343.1,64478.4,15733.2,19791.7,23233.5,44426,23501.9,12085.6,26829.7,10502,12251.3,9454.51,150499,52198.1,81287.6,25236.1,123020,43742.8,44810.4,125269,75057.2,45981.5
298206,55976,31217.5,204228,23900,273563,345919,200537,1.18549e+006,151975,201052,69913.5,218205,149534,175410,688017,95413.1,53503.3,161547,270493,65046.4,146546,31621.5,46297,86559.5,23285.6,103630,224116,66261.7,218018,232228,30866.7,21391.4,132926,7034.09,105730,80942.2,242242,81745.5,51223.2,104920,34797.5,51688.2,30553.8,12000.7,48426.7,116939,101328,15860.5,118609,11960.4,36494.5,16056.2,40821,11443,62099.7,21444.2,34337.5,36271.7,8978.35,90438.9,16190.2,5571.18,15776.9,54840.6,102673,41439.4,16604,249422,65445.4,60560,104664,83041.1,37351
459130,89652.2,64256.3,229487,14191,273436,329128,151892,442766,230999,150156,145694,649660,46067.3,43061.5,976203,277789,194513,28931.1,103498,34021,254848,52201.2,21274.1,75009.9,24293.3,293149,158121,113159,140600,25142.4,261290,32503.6,150699,13743.6,90775.1,27120.6,109039,91622.3,106296,33697.2,44120.1,110857,22906.8,49033.5,28315.1,63717,85243.1,9354.42,151287,8171.81,56581.1,21907.8,80299.6,17059.3,14718.5,12411.2,44976.6,45535.7,12178.1,72087.3,19761.4,9293.3,22799.4,45327.1,84720.5,69681.2,24178.6,226335,24839.2,80302.4,103322,209329,56470.9
