sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
39097,36649.5,34161.6,31643.8,29569.8,27469.7,24740.4,21575.6,18359.4,16085.3,14632.5,13376.8,12578,12127.7,11766.2,11356.1,9892.23,8078.95,6892.42,6120.75,5631.49,5355,5228.51,5250.85,5203.09,5141.9,5019.44,4844.28,4616.42,4247.95,3913.47,3596.5,3300.52,3089.33,2913.98,2808.06,2754.11,2684.79,2610.43,2527,2444.03,2360.82,2210.28,2090.91,2057.55,2073.16,2095.86,2086.4,2072.39,2018.75,1880.07,1676.62,1535.32,1436.52,1300.93,1177.82,1055.57,969.77,927.745,899.436,900.027,923.434,1005.03,1146.29,1312.77,1492.13,1670.49,1843.35,2022.78,2221.38,2445.95,2714.78,3014.3,3318.47,3657.54,4080.21
39097,36649.5,34161.6,31643.8,29569.8,27469.7,24740.4,21575.6,18359.4,16085.3,14632.5,13376.8,12578,12127.7,11766.2,11356.1,9892.23,8078.95,6892.42,6120.75,5631.49,5355,5228.51,5250.85,5203.09,5141.9,5019.44,4844.28,4616.42,4247.95,3913.47,3596.5,3300.52,3089.33,2913.98,2808.06,2754.11,2684.79,2610.43,2527,2444.03,2360.82,2210.28,2090.91,2057.55,2073.16,2095.86,2086.4,2072.39,2018.75,1880.07,1676.62,1535.32,1436.52,1300.93,1177.82,1055.57,969.77,927.745,899.436,900.027,923.434,1005.03,1146.29,1312.77,1492.13,1670.49,1843.35,2022.78,2221.38,2445.95,2714.78,3014.3,3318.47,3657.54,4080.21
39097,36649.5,34161.6,31643.8,29569.8,27469.7,24740.4,21575.6,18359.4,16085.3,14632.5,13376.8,12578,12127.7,11766.2,11356.1,9892.23,8078.95,6892.42,6120.75,5631.49,5355,5228.51,5250.85,5203.09,5141.9,5019.44,4844.28,4616.42,4247.95,3913.47,3596.5,3300.52,3089.33,2913.98,2808.06,2754.11,2684.79,2610.43,2527,2444.03,2360.82,2210.28,2090.91,2057.55,2073.16,2095.86,2086.4,2072.39,2018.75,1880.07,1676.62,1535.32,1436.52,1300.93,1177.82,1055.57,969.77,927.745,899.436,900.027,923.434,1005.03,1146.29,1312.77,1492.13,1670.49,1843.35,2022.78,2221.38,2445.95,2714.78,3014.3,3318.47,3657.54,4080.21
47736.4,45024.3,42290.2,39756.5,37884.2,35523.9,32085,27635.2,23684.5,21207.6,19338.8,17696.5,17201.6,16784.6,16032.2,15498.8,12357.6,9152.53,7548.89,6556.71,6974.38,9259.99,10590,10709.2,10584.8,9784.28,9175.85,8419.31,7743.1,6550.14,5438.26,4726.48,4254.29,4230.56,3963.08,3841.46,3795.88,3785.54,4131.08,4319.76,4373.26,4175.42,3611.55,3481.39,3543.74,3682.61,3774.61,3612.68,3392.23,3164.58,3000.17,2638.08,2396.27,2338,2056.55,1822.48,1710.02,1763.96,1786.37,1556.63,1402.25,1359.36,1359.17,1444.05,1600.08,1763.03,1955.07,2165.94,2322.5,2495.22,2687.01,2897.52,3172.82,3462.67,3713.83,4321.82
55015.7,53084.1,49903.4,46697.8,45459.6,43202.2,40261.2,37612.6,34363.9,31106.4,29298.6,28408.8,26531.3,24912.6,23327.1,21425.1,17905.1,14288.7,12542.7,9444.24,7900.72,8509.08,8838.71,8852.37,8765.48,8618.45,8814.74,8600.51,8058.58,6775.24,5540.05,4822.55,4288.01,3941.93,3494.27,3564.5,3865.63,3995,4398.21,4487.31,4195.06,3976.6,3688.83,3581.62,3682.13,3787.72,3769.28,3642.79,3424.49,3104.89,2916.9,2257.95,1944.62,2093.86,1941.64,1640.27,1560.02,1653.72,1633.21,1393.89,1239.31,1233,1251.38,1298.16,1400.16,1491.58,1597.77,1700.21,1768.49,1953.61,2169.52,2413.23,2680.99,2894.84,3093.19,3458.67
45015.1,43085.7,40901.8,38554.4,37425.1,35158.5,32928,30543.6,27020,24680.3,24027.9,24170.5,23743.4,22206.7,20906.4,19896.8,16431.8,14437.3,12784.4,8828.89,7435.82,7730.38,8128.23,8219.49,8029.09,8207.13,9012.26,9597.84,8712.07,6929.02,5585.16,4478.48,3965.64,3866.15,3587.85,4069.45,4778.5,4942.38,5294.77,5571.45,5565.12,5449.42,4969.93,4508.85,4618.86,4998.5,5318.39,5427.79,5190.27,4736.12,4466.59,3920.39,3364.58,3116.95,2673.4,2293.92,2106.04,2062.25,2246.28,2263.09,2104.54,2064.82,2131.41,2252.42,2544.03,2902.87,3128.74,3283.03,3356.97,3504.43,3778.96,4170.26,4517.29,4864.82,5361.91,5990.55
49686.5,48268.9,46505.8,44867.2,42487.7,40293.4,38184.8,34165.2,30772.2,28876.5,28446,26217.3,25913.2,27477.5,26688.1,25681.1,22869.8,21541.9,21643.1,18871.1,15138.3,13619.7,13653.7,14899.3,15563.7,14568.3,13806.1,13057.7,11769.1,9985.29,8426.26,7357.85,6820.11,5367.73,4474.29,3973.97,4130.74,4755.74,5890.23,6806,6772.75,6581.66,6635.44,6709.59,6837.15,6966.75,6969.16,6795.34,6258.66,5487.26,5027.2,4798.9,4325.81,3831.45,3400.89,3012.85,2682.09,2520.82,2828.09,3121.36,3091.63,3165.57,3223.35,3254.81,3338.57,3450.41,3627.07,3768,3789.81,3767.98,3888.55,4068.9,4269.46,4531.88,5162.25,6045.32
49026.1,46523.7,44198.6,42316.1,39188,37286.7,33967.5,28029.2,24901.3,23459.6,21346.9,19002.5,19312.9,19449.5,18879.3,19541.9,18007.5,17902.8,18996,17615.7,15398.6,13077.1,11425.3,11963.8,12741.7,12729,13100.5,13016.9,12006,10594.1,8956.92,7780.67,6543.2,5602.07,5060.41,4713.76,4586.52,4774.1,5507.77,5870.46,5382,4992.89,4751.22,4522.67,4818.76,4956.97,5359.12,5826.89,5607.33,5124.35,4889.14,4672.74,4133.42,3607.89,3228.02,2976.72,2786.41,2552.91,2521.89,2594.14,2541.22,2747.31,3163.8,3543.4,3817.04,4321.32,4875.18,5157,5357.82,5323.99,5722.16,6500.87,6857.12,7854.57,9540.8,10407.8
44599.7,42651.1,41027.9,39072.7,36608.1,33021.9,26292.8,20999.1,18469.5,16917.4,16552.8,15080.7,14506,13999,12961.4,12797.5,11518,10325.3,11635.6,13027.7,14082.3,14789.7,14070.4,13262.3,13003.1,12874.9,12627.5,12317.9,11951.5,10877.9,9226.67,7929.65,7422.59,7223.68,7199.5,6894.32,6198.26,5664.83,5848.39,5842.79,5465.3,4975.74,4134.93,3568.57,3561.96,3618.05,4162.68,4605.8,4630.48,4557.9,4584.96,4488.43,3998.47,3569.13,3169.34,2536.02,2094.57,1923.23,2001.1,2056.52,1961.3,2007.01,2169.63,2570.03,2897.17,3193.37,3486.47,3551.51,3575.38,3573.65,3778.84,4185.82,4492.11,5477,6839.04,7650.25
44546.1,42257.3,40928.3,39081.4,36317.2,33044.1,26679.7,20385.5,16995.4,15261.2,13926.5,12062.4,11288.3,10662.6,9580.47,10230.2,10658.9,9492.87,10579.1,12436.5,12807,12855.9,12413.5,11856.7,11873.3,12974.2,13577.6,12517.6,10928.3,8256.31,5837.87,4779.16,4551.12,4774.74,4828.08,4834.1,4733.53,4404.05,4771.36,4952.98,4768.99,4286.13,3354.7,2919.66,3055.16,3169.36,3485.59,3708.58,3641.17,3345.69,3130.33,2737.29,2201.35,1918.2,1898.45,1758.6,1475.64,1324.5,1255.88,1148.73,1122.97,1159.92,1239.1,1454.01,1694.35,1943.64,2138.03,2236.44,2301.17,2360.2,2588.85,3000.09,3440.59,4441.08,5744.87,6467.34
46675.9,44388.9,42272.1,40440.3,37890.9,32233.5,25680.9,20609.6,17278.7,15764.9,15101.3,12643.7,11367,11858.6,11118,12053.9,11795.2,7883.13,6174.14,5552.5,6111.14,6864.25,6927.24,7407.57,7728.12,8768.65,9750.19,9171.25,8024.03,6152.42,4601.26,3788.61,3486.34,3499.32,3431.23,3393.78,3195.77,2932.08,3385.08,3581.13,3667.74,3776.29,2736.45,2530.41,2977.34,3284.88,3349.4,2794.21,2479.42,2377.8,2279.55,2034.85,1863.79,1749.72,1853.22,1758.15,1413.53,1235.08,1121.77,960.555,882.633,884.422,985.958,1145.5,1278.09,1406.91,1522.84,1628.7,1706.75,1937.86,2258.99,2662.19,3072.68,3419.26,3874.79,4232.6
28366.4,26450,23842.1,21699,20346.9,17733.6,13779.7,10386.7,7780.77,6338.93,5959.9,4946.83,4593.79,6187.43,6867.28,6784.8,4168.2,2672.29,3961.58,4915.69,5666.04,6344.18,6068.46,5981.33,5879.09,6506.75,6763.85,6026.83,5007.26,3598.13,2201.19,1508.68,1960.92,2584.38,2127.06,2288.14,2717.08,2462.01,2576.67,2534.18,2477.01,2781.66,2452.93,2341.23,2774.25,3082.57,2917.5,2485.83,2211.94,1911.72,1867.24,1749.23,1598.12,1455.08,1409.33,1318.5,1044.44,856.016,746.16,694.876,726.896,789.988,925.607,1081.46,1175.36,1278.85,1403.33,1618.97,1846.89,2467.44,3281.66,3925.25,4404.36,4900.58,5517.62,5832.78
