ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
179944,0.805246,0.199888,0.199888,67334.6,148.418,0.26,0.735, 21047.1, 6954.6, 1468.98, 0.37959,0.113916,8.05979e-005,6434,290.544
179944,0.805246,0.199888,0.199888,67334.6,148.418,0.26,0.735, 21047.1, 6954.6, 1468.98, 0.37959,0.113916,8.05979e-005,6434,290.544
179944,0.805246,0.199888,0.199888,67334.6,148.418,0.26,0.735, 21047.1, 6954.6, 1468.98, 0.37959,0.113916,8.05979e-005,6434,290.544
176134,0.792092,0.199888,0.199888,61705.4,18034.6,0.26,0.735, 20601.4, 6881.96, 1422.06, 0.368313,0.112353,8.7448e-005,6274.46,318.749
189765,0.773156,0.199888,0.199888,58193.9,85.6887,0.26,0.735, 22195.8, 7530.58, 1507.24, 0.352654,0.118416,8.54566e-005,5722.3,333.608
167969,0.702823,0.199888,0.199888,65286.8,1026.27,0.26,0.735, 19646.4, 7053.75, 1248.68, 0.299458,0.0818298,7.04398e-005,7302.33,346.331
161556,0.795408,0.199888,0.199888,69055.5,169603,0.26,0.735, 18896.3, 6295.07, 1308.03, 0.371123,0.107472,7.82153e-005,6257.33,354.96
143121,0.755322,0.199888,0.199888,65126.2,3062.61,0.26,0.735, 16740.1, 5762.39, 1118.79, 0.338474,0.0889114,7.56849e-005,6080.16,368.931
115635,0.792214,0.199888,0.199888,59966.9,398.349,0.26,0.735, 13525.2, 4517.67, 933.705, 0.368415,0.0957259,8.58678e-005,5906.77,375.859
121428,0.851433,0.199888,0.199888,63455.3,751.266,0.26,0.735, 14202.8, 4512.32, 1028.69, 0.422223,0.117841,7.57831e-005,6112.58,375.344
126526,0.819188,0.199888,0.199888,71442.3,2.68994,0.26,0.735, 14799.1, 4833.31, 1044.81, 0.391934,0.0907637,5.15569e-005,9097,380.076
137760,0.887325,0.199888,0.199888,66485.2,14.9818,0.26,0.735, 16113, 4958.27, 1199.12, 0.459334,0.101654,5.66144e-005,11199.1,391.082
159144,0.888034,0.199888,0.199888,74086,98.3361,0.26,0.735, 18614.2, 5724.23, 1385.98, 0.460109,0.0942014,4.72815e-005,12815.4,388.157
158272,0.900295,0.199888,0.199888,64888,2.47489,0.26,0.735, 18512.2, 5628.9, 1390.81, 0.473796,0.106082,6.53599e-005,9035.2,387.585
140365,0.890942,0.199888,0.199888,66355.8,1.75132e+006,0.26,0.735, 16417.7, 5035.35, 1225.05, 0.463306,0.105739,6.53113e-005,10531.4,390.509
116155,0.909334,0.199888,0.199888,61194.4,1090.26,0.26,0.735, 13586, 4096.15, 1027.39, 0.484253,0.102435,7.41036e-005,8934.07,399.817
119212,0.853267,0.199888,0.199888,56390,1.14786,0.26,0.735, 13943.6, 4422.9, 1011.35, 0.424026,0.108666,9.21226e-005,6654.45,394.457
172474,0.659062,0.199888,0.199888,51746.1,8.83445,0.26,0.735, 20173.3, 7500.59, 1223.95, 0.269491,0.0959142,9.62269e-005,7606.42,406.774
182803,0.720129,0.199888,0.199888,47938.3,2.62898e+006,0.26,0.735, 21381.4, 7571.25, 1382.48, 0.31191,0.129389,0.000121528,5078.26,401.765
215028,0.672,0.199888,0.199888,54219.9,26.2919,0.26,0.735, 25150.6, 9254.9, 1547.8, 0.278142,0.104426,8.47504e-005,8533.33,402.694
199158,0.67683,0.199888,0.199888,53140.9,5.56039,0.26,0.735, 23294.4, 8538.84, 1441.05, 0.281414,0.0859584,7.71448e-005,7750.15,390.174
179515,0.618713,0.199888,0.199888,58681.5,677709,0.26,0.735, 20996.9, 8064.91, 1214.92, 0.243492,0.0700708,7.08434e-005,6711.06,388.73
159778,0.714898,0.199888,0.199888,55873.3,936656,0.26,0.735, 18688.4, 6645.36, 1202.18, 0.308107,0.0948017,7.75826e-005,6826.94,394.36
134343,0.744358,0.199888,0.199888,53756.3,27694.9,0.26,0.735, 15713.4, 5457.04, 1039.66, 0.330007,0.109936,8.37587e-005,8145.23,391.572
132153,0.695423,0.199888,0.199888,51666,241.502,0.26,0.735, 15457.2, 5582.56, 975.044, 0.294244,0.102375,7.71079e-005,8355.38,393.791
131751,0.689645,0.199888,0.199888,55288.7,73324.6,0.26,0.735, 15410.2, 5591.29, 966.29, 0.290216,0.106476,7.56628e-005,9224.9,384.603
129548,0.704751,0.199888,0.199888,61368.4,4822.63,0.26,0.735, 15152.5, 5431.89, 964.926, 0.300827,0.0815721,6.2711e-005,9236.32,381.491
108835,0.727892,0.199888,0.199888,59700.7,3.73623,0.26,0.735, 12729.9, 4479.76, 829.282, 0.317621,0.0727721,5.83051e-005,7994.75,390.026
94275.8,0.820541,0.199888,0.199888,53806.1,248.657,0.26,0.735, 11026.9, 3597.23, 779.351, 0.393155,0.137225,8.35305e-005,6253.17,391.769
82834.6,0.948808,0.199888,0.199888,54196.6,16152.2,0.26,0.735, 9688.7, 2810.24, 753.292, 0.534181,0.131265,7.27907e-005,7958.39,390.294
83251.4,0.884996,0.199888,0.199888,53947.4,739660,0.26,0.735, 9737.45, 3002.76, 723.41, 0.4568,0.115054,7.29736e-005,5791.08,392.155
79697.6,0.862244,0.199888,0.199888,59772.1,76.0317,0.26,0.735, 9321.79, 2933.69, 680.796, 0.432989,0.0792557,6.48746e-005,6939.37,397.428
79133.2,0.813151,0.199888,0.199888,57701.8,227841,0.26,0.735, 9255.77, 3038.26, 650.238, 0.386537,0.0887719,6.52338e-005,7316.9,389.706
106347,0.827674,0.199888,0.199888,52597.9,220436,0.26,0.735, 12438.8, 4033.4, 884.213, 0.399659,0.12278,8.64711e-005,6096.91,383.692
119550,0.847108,0.199888,0.199888,54750.2,1.29017e+006,0.26,0.735, 13983.1, 4459.25, 1009.38, 0.418007,0.111665,7.5954e-005,7202.52,382.772
134192,0.922654,0.199888,0.199888,60153.1,158.157,0.26,0.735, 15695.7, 4672.38, 1198.26, 0.50028,0.0905399,5.77911e-005,8854.83,396.628
154230,0.882763,0.199888,0.199888,49540.3,87955.2,0.26,0.735, 18039.4, 5574.13, 1337.96, 0.454389,0.133688,8.29858e-005,6460.59,403.87
108141,0.93363,0.199888,0.199888,56273.9,9733.5,0.26,0.735, 12648.7, 3725.12, 973.121, 0.51409,0.225024,7.06916e-005,7119.37,396.57
117441,0.882086,0.199888,0.199888,58418,27.602,0.26,0.735, 13736.4, 4247.11, 1018.3, 0.453661,0.148714,6.99521e-005,6734.16,400.925
116094,0.959373,0.199888,0.199888,62349,458529,0.26,0.735, 13578.8, 3895.82, 1063.42, 0.548925,0.13387,6.50293e-005,7402.2,393.393
