rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
101590,105181,108006,111182,114102,116838,120277,123242,126006,128081,129891,131440,132733,133194,134015,134140,133212,131521,130042,128724,127793,126327,124943,122898,119606,117144,114520,111693,108111,101735,94445.6,86243.2,78951.3,74240.3,71344,74752.1,77549.6,71678.4,66445.4,62457.2,57428.9,54676.3,51335.2,48451.8,50281.2,51906.5,52883.3,48806.6,47589.9,47456.2,44587.1,36919.7,34069.1,31136.1,25521.4,23424.1,24234.4,23785.5,23174.2,23539.9,24645.3,23828.5,22639.1,24115.6,27270.8,32003.2,39226.4,39394,39150.3,43054.7,52502.2,53926.4,52089.8,53945.2,57920.3,63671.3,73486.8,79635.9,86005.7,91897.8,89705.9,87795.8,97613.3
101590,105181,108006,111182,114102,116838,120277,123242,126006,128081,129891,131440,132733,133194,134015,134140,133212,131521,130042,128724,127793,126327,124943,122898,119606,117144,114520,111693,108111,101735,94445.6,86243.2,78951.3,74240.3,71344,74752.1,77549.6,71678.4,66445.4,62457.2,57428.9,54676.3,51335.2,48451.8,50281.2,51906.5,52883.3,48806.6,47589.9,47456.2,44587.1,36919.7,34069.1,31136.1,25521.4,23424.1,24234.4,23785.5,23174.2,23539.9,24645.3,23828.5,22639.1,24115.6,27270.8,32003.2,39226.4,39394,39150.3,43054.7,52502.2,53926.4,52089.8,53945.2,57920.3,63671.3,73486.8,79635.9,86005.7,91897.8,89705.9,87795.8,97613.3
101590,105181,108006,111182,114102,116838,120277,123242,126006,128081,129891,131440,132733,133194,134015,134140,133212,131521,130042,128724,127793,126327,124943,122898,119606,117144,114520,111693,108111,101735,94445.6,86243.2,78951.3,74240.3,71344,74752.1,77549.6,71678.4,66445.4,62457.2,57428.9,54676.3,51335.2,48451.8,50281.2,51906.5,52883.3,48806.6,47589.9,47456.2,44587.1,36919.7,34069.1,31136.1,25521.4,23424.1,24234.4,23785.5,23174.2,23539.9,24645.3,23828.5,22639.1,24115.6,27270.8,32003.2,39226.4,39394,39150.3,43054.7,52502.2,53926.4,52089.8,53945.2,57920.3,63671.3,73486.8,79635.9,86005.7,91897.8,89705.9,87795.8,97613.3
74964,173814,277408,56624.6,66706.7,145182,94036.6,219228,154739,71120.1,97255.4,105533,104582,56644.3,85152.7,119200,350715,39827.8,92525,161186,167617,339692,156261,81006.1,107457,31239,164344,93250.6,67227.8,208783,112559,59146.4,135523,49934.2,50257.4,77871.3,70096.5,86651.4,86465.8,72479.8,78042.4,60873.9,22560.7,53550.5,34288.5,103393,44098.9,78983.7,37659.9,76718.4,40344.3,26726.9,45585.9,35150.2,8543.92,26666.5,33026.9,13446.6,23974.4,20672.1,20249.7,23910.7,8903.42,27132.1,7253.61,32973.2,35010.9,32410.4,25848.6,44705.4,47040.3,58787.5,58757.2,30125.4,45235.4,85889.5,51222.8,69385.3,138784,107398,128692,45547,105789
33835,130841,138980,47702.3,136591,136717,85229.5,301906,126098,67296.3,90316.1,233273,179428,32677.3,91427.4,112035,171448,39975,76770.5,207741,341874,169757,111079,85873.6,78856.6,34558.7,175518,86352.4,96977.4,173163,197835,65923.7,102350,54488.7,18052.7,64736.6,97965.8,61363.9,69322.8,78882.5,82488.1,55795.3,17266.3,37636.7,34600.2,77444.4,69178,49313,31584,181462,22013.1,25066.5,50654.7,28987.9,8976.65,33249.6,38207.5,20182.6,10376.8,14297.2,20451.5,16094.6,7900.4,59757.3,8957.2,36320.5,33941.1,41506.1,21146.5,40846.8,34398.7,97184.2,69254.7,30813.6,49960.4,48945.3,36818.8,73871.2,95786.8,73863,82399.3,36763.6,82570.7
73514.8,138218,109523,24104.3,154225,181389,68812.7,113468,146163,91514.5,94980.3,674873,128621,77240.7,112605,117166,326026,106436,280436,140969,120577,110852,77054.5,125504,52506.5,45630.4,135821,124449,60837.2,90620.9,96347.1,137075,141507,130042,15652.2,158476,50276.3,56557.2,124799,136496,54206.5,43206.2,25143.9,57981.1,32974.2,47059,54568.7,79795.6,36396.1,138014,31951.9,21033.9,31347.7,34832,33044.1,41931.2,52556.6,21035.5,10936.6,14156.3,22415.9,26366.7,26259.9,53684.4,12707.8,27623.8,36474.9,84797.7,25256.9,39547.8,64040.1,100359,47067.5,38306.5,54940.1,60035.8,31319.6,84355.5,274483,67742,67670.1,34426,69475.5
101777,56226.6,113174,76040.9,114111,123549,58507.1,78788.7,181891,74654.1,170961,425997,218350,37250.5,169173,169658,514284,88925.6,167722,156050,123415,228247,276415,172811,36124.5,25857.2,87021,176641,64251.5,141471,69356.5,93450.2,180949,45838.7,65839.5,285608,83982.7,79074.9,179654,103465,22898.1,76870.1,24235.1,77277.6,46636.7,67056,35349,72117,63041.5,104059,28971.2,19470.9,18376.1,27649.4,54620.3,29267.6,32364.3,33347.8,13888.8,21881.3,31886.7,25523.9,19704.4,40142.5,14048.1,24531.4,57359.1,51637.5,30072.8,17816,67902.3,53341.5,57005.8,28593.7,59929,47104,31161,105491,178678,38029.1,63401,107691,136252
29281.7,29530.5,113158,18991,166020,109303,42404.7,125084,416521,67174.7,122973,640730,169101,55913.2,259528,187612,519789,74231,211584,143498,75847.9,109237,156455,298585,35805.4,18157.1,90662.8,260952,155933,186575,80939.5,34457.8,285286,38801.3,33489,95601.6,341472,55949.8,43026.5,147022,29422.1,45578,33645.2,71280.1,59632,45238.6,29540.4,90534,97331.5,41591.6,16362.8,34637.7,23908.3,50358.1,43944.2,20623.8,29438.8,39773.4,15614.8,22220.5,35739.8,14046.5,35670.4,30492.9,14349.9,49817.5,34729,42387.4,21719.7,24091.3,87118.4,41522.2,82036.8,56790,44391.9,72781.7,40297.3,65008,92141.5,82753.5,51725.9,63379.8,138671
48521.1,44799.6,87255.2,16935.8,194255,174169,71658.6,106861,247774,128130,176272,513461,135226,39670.2,261860,172661,512520,109370,351084,166383,110619,75860.6,156960,133575,23218.3,17700.5,59893,171674,224954,105799,54614.5,75217.3,128248,36160.9,148999,53278.8,264239,65626.1,36384.9,146628,53852,18871.4,76430.6,36018.8,29684.4,117197,29836.6,86547.4,91257.5,45117.5,6277.27,44318.8,33731.5,61033.3,62063.4,9057.06,39147.1,36226.6,25092.4,18028.9,22900.9,11400,9918.18,22899.8,14463.2,48928.5,21598,20994.9,40547.9,15634.4,42097.7,35035.7,73623.6,58330.7,42583.2,69569.3,25385.7,34554,252080,80402.7,14363.1,52482.9,81631.8
53416.1,62057,113801,50290.4,79025.7,93766.3,70721,52046.1,110964,65710.2,208004,442956,64475.2,324438,119892,193462,525901,83200.5,395314,167137,102671,286077,127939,117094,24180.5,42063.4,57071.9,139905,32597.1,228604,46501.9,75283.6,227442,17511.8,153506,114909,136239,53160,38976.6,133363,92223.9,28622.8,26107,51881.3,24327.6,44004.2,88075.3,51877,105500,72221.4,7809.69,45860.5,52149.7,29131.2,35988.5,6722.27,61421.2,50585.6,21987,60745.4,47956.6,11654.7,14949,18813.2,17614.9,54116.2,15011.1,39930.4,37689.1,39724.3,29610,37902.3,32548.3,37038.5,96324.1,146528,36408.7,43495.3,78378.8,63471.4,26670,206813,77574.3
