sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
20312.9,19134.2,18270,17307.7,16495.4,15708,14636.4,13453.1,12322.1,11779.9,11119.2,10534.1,9917.96,9201.81,8790.38,8330.4,7798.45,7279.09,6891.45,6592.07,6340.58,6122.86,5925.83,5742.82,5477.64,5292.51,5105.95,4896.84,4641.46,4244.54,3871.9,3521.16,3195.98,2960.16,2770.12,2642.96,2559.17,2459.53,2352.67,2240.52,2145.95,2072.96,1940.5,1830.26,1797.57,1810.78,1828.22,1816.39,1806.31,1761.65,1637.85,1458.96,1340.52,1257.61,1139.48,1031.97,929.502,857.451,815.821,788.436,789.298,806.39,874.588,999.108,1148.29,1310.56,1473.45,1631.64,1794.92,1976.19,2180.18,2416.97,2674.81,2926.02,3187.33,3493.66,3830.8,4159.09,4469.46,4786.48,5132.97,5525.63,5967.96,6434,6925
20312.9,19134.2,18270,17307.7,16495.4,15708,14636.4,13453.1,12322.1,11779.9,11119.2,10534.1,9917.96,9201.81,8790.38,8330.4,7798.45,7279.09,6891.45,6592.07,6340.58,6122.86,5925.83,5742.82,5477.64,5292.51,5105.95,4896.84,4641.46,4244.54,3871.9,3521.16,3195.98,2960.16,2770.12,2642.96,2559.17,2459.53,2352.67,2240.52,2145.95,2072.96,1940.5,1830.26,1797.57,1810.78,1828.22,1816.39,1806.31,1761.65,1637.85,1458.96,1340.52,1257.61,1139.48,1031.97,929.502,857.451,815.821,788.436,789.298,806.39,874.588,999.108,1148.29,1310.56,1473.45,1631.64,1794.92,1976.19,2180.18,2416.97,2674.81,2926.02,3187.33,3493.66,3830.8,4159.09,4469.46,4786.48,5132.97,5525.63,5967.96,6434,6925
20312.9,19134.2,18270,17307.7,16495.4,15708,14636.4,13453.1,12322.1,11779.9,11119.2,10534.1,9917.96,9201.81,8790.38,8330.4,7798.45,7279.09,6891.45,6592.07,6340.58,6122.86,5925.83,5742.82,5477.64,5292.51,5105.95,4896.84,4641.46,4244.54,3871.9,3521.16,3195.98,2960.16,2770.12,2642.96,2559.17,2459.53,2352.67,2240.52,2145.95,2072.96,1940.5,1830.26,1797.57,1810.78,1828.22,1816.39,1806.31,1761.65,1637.85,1458.96,1340.52,1257.61,1139.48,1031.97,929.502,857.451,815.821,788.436,789.298,806.39,874.588,999.108,1148.29,1310.56,1473.45,1631.64,1794.92,1976.19,2180.18,2416.97,2674.81,2926.02,3187.33,3493.66,3830.8,4159.09,4469.46,4786.48,5132.97,5525.63,5967.96,6434,6925
19947.6,18687.6,17775.1,16671.7,15886.4,15286,14493,14247.5,13459.7,12484.2,11809.1,11230.4,10776.5,10398.8,9703.65,8459.93,7323.38,6635.69,6035,5222.8,4595.05,5146.09,5522.66,5119.06,5239.86,5639.73,6333.5,6976.79,6742.2,6174.31,5526.71,5099.56,4633.7,3625.9,3418.09,3555.17,3183.4,2854.09,2729.04,2449.63,2177.14,2038.59,1837.5,1844.55,1872.67,1886.35,1931.72,1732.22,1671.5,1600.92,1571.3,1375.6,1334.8,1310.16,1176.35,1136.27,1058.78,964.974,899.17,834.132,806.235,827.607,855.215,925.67,1044.17,1149.92,1273.18,1364.87,1469.95,1589.5,1717.74,1929.61,2155.94,2363.75,2618.07,2947.21,3296.66,3683.05,4001.09,4225.02,4608.37,5105.29,5571.93,6274.46,7058.57
21518.9,20088.5,19071.6,18131.1,17371.2,16528.2,15313.8,14047.5,12463.1,11658.2,11379.7,10928,10779.3,10471.4,9798.22,8728.45,8104.76,8163.59,7476.7,5868.64,4730.91,4416.77,4313.29,4476.79,4825.87,5733.73,6315.43,6036.04,5602.24,5123.27,4567.79,4247.45,3604.89,2513.57,2454.88,2797.69,2573.19,2123.89,1976.18,1896.14,1835.69,1827.89,1694.48,1731.45,1738.35,1732.52,1767.83,1511.64,1386.04,1360.81,1267.49,1178.26,1241.89,1283.32,1504.47,1521.89,1247.67,1074.96,958.05,867.561,849.173,862.644,881.082,915.835,969.614,1051.02,1177.97,1271.9,1497.96,1768.94,1954.43,2187.12,2427.76,2626.83,2867.21,3167.87,3587.54,4125.39,4437.77,4614.9,4838.58,5039.64,5297.64,5722.3,6129.37
19061.2,16869.6,15051.1,14200.7,13701.3,13306.8,12784.1,12158,10626.9,9798.78,9534.86,9022.54,8375.88,7794.51,7592.73,7188.84,8683.65,10443.6,10243.6,10101.3,9670.9,9548.8,9819.76,10286.3,9641.63,8736.35,8534.99,7889.33,7011,6260.38,5552.02,5190.38,4714.27,3762.59,3240.61,3093.05,3366,3702,3901.22,3704.47,3484.71,3188.98,2468.69,2367.83,2780.85,3007.44,2998.9,2678.12,2500.97,2336.31,1984.03,1608.98,1554.26,1504.61,1668.34,1820.23,1370.19,1041.01,966.045,976.767,1062.25,1133.22,1139.81,1172.22,1238.16,1338.02,1498.13,1668.58,1923.82,2180.28,2379.85,2595.21,2956.96,3345.2,3618.64,3965.68,4454.77,4904.73,5106.17,5248.01,5524.77,5921.53,6303.33,7302.33,8321.53
18224.5,15843,13659.7,12535,11906.4,11446,10809.6,9768.98,8589.77,8207.85,8080.88,7710.83,6922.95,6531.29,6399.31,6321.78,7441.56,8868.78,8932.73,9023.2,9609.44,11177.4,12337.8,12179.5,11035.6,9974.34,10102.9,10367.5,9179.43,7703.16,6664.98,5550.87,4593.94,3468.73,3061.44,2949.74,2943.57,3142.28,3201.48,2757.98,2472.92,2361.87,1699.53,1712.93,2170.83,2208.6,2199.18,2038.78,2024.1,1935.41,1739.78,1480.61,1296.53,1215.39,1349.72,1372.19,1026.04,791.699,701.128,774.881,909.587,936.704,994.935,1132.8,1258.8,1426.9,1622.58,1766.23,1948.47,2156.21,2308.53,2543.87,2852.76,3108.54,3258.39,3498.23,3833.7,4139.54,4323.41,4468.49,4764.15,5065.55,5449.5,6257.33,6988.97
15678.2,14047.8,12566.9,11454.9,10818.1,9512.59,8122.29,7441.38,6633.79,6418.55,6733.28,6742.25,5783.57,6001.14,7094.54,6763.38,7927.57,9843.48,9851.37,10377.1,11031.6,12163.6,13134.8,13083.2,12135.4,10910.3,10481.7,9898,7913.99,6091.86,5140.95,4411.79,4157.93,3795.3,3929.47,4066.81,3831.94,4068.28,4240.14,4042.23,3209.36,3198.45,3001.4,2575.96,2778.52,2919.67,2744.29,2168.44,1914.28,1929.32,1819.88,1740.24,1584.73,1509.84,1524.41,1344.4,1034.16,831.516,812.539,925.04,1017.48,1029.18,1128.72,1306.97,1436.25,1619.92,1771.09,1907.48,2124.68,2278.4,2466.26,2682.12,2864.18,3054.01,3179.15,3522.78,3950.13,4330.79,4745.96,4998.39,5261.42,5530.6,5754.32,6080.16,6483.51
12827,11747.8,10657.8,9684.42,8879.75,7807.73,6935.35,6280.61,5705,5984.77,6316.7,6103.59,5046.52,4848.28,5790.87,5192.28,5346.28,6055.24,6158.9,7252.32,8485.27,10091.5,11300.4,11882.2,12002,11601.9,10960.1,9983.32,8098.54,6431.89,5559.41,4697.04,4105.07,3960.94,4185.46,4029.69,3561.26,2564.09,2024.41,2490.75,2471.93,2696,2706.82,2371.52,2595.27,2871.98,2725.32,2364.33,2260.77,2194.42,2091.23,2040.91,1630.46,1427.8,1493.65,1284.38,998.224,763.323,667.912,751.486,826.461,839.608,931.726,1109.9,1240.93,1346.13,1414.51,1450.52,1545.41,1646.25,1820.63,2028.85,2133.07,2286.28,2440.82,2645.57,2926.47,3287.05,3720.16,4007.15,4349.92,4826.73,5116.52,5906.77,6931.48
13624.1,12640.5,11350.7,9892.1,8777.79,7952.73,7164.28,6481.28,5951.66,5778,5456.39,4953.5,3501.62,2916.58,3540.15,3709.28,4736.63,4658.74,5006.36,6689.87,7755.91,9816.87,11054.9,11145.2,11388.7,11483.1,11648.7,11011.2,9299.32,7700.64,6434.14,5293.24,4692.65,3881.17,3541.34,3240.43,2816.9,2489.55,1916.46,2145.25,2441.09,2370.62,2076.39,1800.39,1923.19,2204.51,2355.33,1940.58,1718.95,1641.81,1267.31,1341,1171.79,1077.55,1274.24,1238.67,880.682,676.635,667.301,720.69,740.121,803.156,1027.56,1308.09,1600.81,1956.41,2128.28,2171.35,2252.73,2308.58,2466.94,2634.71,2742.38,2891.21,3038.31,3182.24,3334.36,3577.95,3870.6,4279.56,5011.42,5625.99,5846.72,6112.58,6551.85
