ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
144957,0.761516,0.199888,0.199888,72518.8,148.421,0.592143,0.735, 16954.8, 5807.11, 1139.5, 0.34334,0.126237,6.81585e-005,8283.41,286.411
144957,0.761516,0.199888,0.199888,72518.8,148.421,0.592143,0.735, 16954.8, 5807.11, 1139.5, 0.34334,0.126237,6.81585e-005,8283.41,286.411
144957,0.761516,0.199888,0.199888,72518.8,148.421,0.592143,0.735, 16954.8, 5807.11, 1139.5, 0.34334,0.126237,6.81585e-005,8283.41,286.411
150701,0.715298,0.199888,0.199888,67683.9,3305.79,0.555712,0.735, 17626.7, 6265.83, 1134.32, 0.308396,0.104954,7.13221e-005,8929.47,305.049
200475,0.627367,0.199888,0.199888,81561,2.37196,0.601063,0.735, 23448.5, 8943.59, 1371.22, 0.248952,0.0831702,4.701e-005,13177.7,327.452
172288,0.740352,0.199888,0.199888,73555.3,656.627,0.538816,0.735, 20151.6, 7020.97, 1328.35, 0.326958,0.106919,5.12416e-005,12338.2,340.384
154274,0.744776,0.199888,0.199888,78580.7,44863.9,0.54134,0.735, 18044.5, 6264.52, 1194.36, 0.330326,0.110079,4.29433e-005,14048.2,346.743
156946,0.768815,0.199888,0.199888,65264.2,2.18446,0.505807,0.735, 18357.1, 6250.24, 1241.8, 0.349154,0.131533,7.14782e-005,8883.47,352.867
125679,0.795512,0.199888,0.199888,68009.8,361.701,0.499402,0.735, 14699.9, 4896.7, 1017.64, 0.371211,0.151576,5.6887e-005,13322,361.537
111544,0.888818,0.199888,0.199888,61609.2,4.86867,0.507642,0.735, 13046.7, 4009.26, 972.001, 0.460968,0.157455,6.7394e-005,9803.36,358.78
99589.1,0.938308,0.199888,0.199888,57562.1,1065.31,0.543651,0.735, 11648.4, 3414.63, 899.095, 0.520153,0.199449,8.01625e-005,7727.24,352.646
113109,0.970601,0.199888,0.199888,61495.2,2.78737,0.490068,0.735, 13229.7, 3750.73, 1044.01, 0.565351,0.214945,7.60282e-005,8938.11,358.186
101783,0.884447,0.199888,0.199888,61072.4,3.09711e+006,0.511097,0.735, 11905, 3672.99, 884.079, 0.456206,0.16378,7.77167e-005,7543.65,357.088
117850,0.834222,0.199888,0.199888,65043.5,4691.42,0.49889,0.735, 13784.3, 4444.83, 984.991, 0.405736,0.1262,6.38227e-005,7969.95,380.953
124387,0.906452,0.199888,0.199888,62322.7,1.11402,0.417387,0.735, 14548.9, 4398.39, 1097.92, 0.480884,0.132208,6.8701e-005,8914.11,384.671
134281,0.914238,0.199888,0.199888,65140,176.492,0.423505,0.735, 15706.1, 4713.41, 1191.9, 0.490066,0.156667,5.85112e-005,10961.6,377.147
158208,0.850702,0.199888,0.199888,62508.8,66671,0.441037,0.735, 18504.7, 5882.82, 1339.51, 0.421507,0.140347,6.86454e-005,9295.17,385.694
143588,0.849422,0.199888,0.199888,58963.2,641.083,0.493139,0.735, 16794.7, 5345.13, 1214.52, 0.420256,0.176973,9.16286e-005,6697.54,384.616
134060,0.824333,0.199888,0.199888,51098.9,29.4811,0.467756,0.735, 15680.3, 5098.91, 1111.64, 0.396598,0.207974,0.000106201,5585.24,370.765
103435,0.887249,0.199888,0.199888,57669.1,83.5516,0.457969,0.735, 12098.3, 3723.12, 900.297, 0.459251,0.19108,8.15231e-005,8606.61,380.37
110142,0.761529,0.199888,0.199888,52157.9,17.6581,0.482995,0.735, 12882.7, 4412.35, 865.833, 0.343351,0.165311,0.000104509,5499.45,375.532
110589,0.694988,0.199888,0.199888,67526.5,34.5925,0.590839,0.735, 12935, 4673.24, 815.575, 0.293939,0.137442,6.72813e-005,8733.4,382.131
155473,0.467273,0.199888,0.199888,66291.2,169774,0.579136,0.735, 18184.8, 7973.49, 828.129, 0.155297,0.0722994,6.88636e-005,6127.79,382.696
156889,0.643805,0.199888,0.199888,81092.5,36.9262,0.530089,0.735, 18350.5, 6906.92, 1094.19, 0.259494,0.0656719,3.80765e-005,12366.5,386.931
120224,0.902436,0.199888,0.199888,65491.9,11883.8,0.545497,0.735, 14062, 4267.22, 1058.11, 0.476244,0.1318,6.34599e-005,8077.71,383.254
133746,0.926304,0.199888,0.199888,73298.3,81.1484,0.55365,0.735, 15643.5, 4640.37, 1197.35, 0.50481,0.112155,5.53498e-005,9161.29,378.273
142681,0.949102,0.199888,0.199888,78072.5,126.957,0.519931,0.735, 16688.7, 4839.14, 1297.8, 0.534583,0.0845488,4.89785e-005,10327.9,391.759
