rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
107667,112044,115194,118359,120885,122775,124940,126643,128159,129408,130520,131519,132351,132516,132999,132904,131925,130265,128753,127367,126188,124711,123267,121450,118512,116252,113762,110927,107311,101206,94628,87542,80804.8,75980.4,72388.3,71954,71930,69270.1,65981.3,62444.4,58479,55367.6,51489.3,48702.3,48872.9,49881.6,50658.2,49130.2,48434.8,47714,44869.2,39190,35788.1,32766.3,28670.7,26361.3,25667.8,25356.4,25238,25760.5,27017.9,27725.9,28777.7,31597.7,35516.3,40240,45761.9,49036.3,52093.7,56907.8,63776.2,67945.2,70690.3,74690.2,79727.7,85614.2,92842.9,98526.6,103870,108584,110395,111754,116396
107667,112044,115194,118359,120885,122775,124940,126643,128159,129408,130520,131519,132351,132516,132999,132904,131925,130265,128753,127367,126188,124711,123267,121450,118512,116252,113762,110927,107311,101206,94628,87542,80804.8,75980.4,72388.3,71954,71930,69270.1,65981.3,62444.4,58479,55367.6,51489.3,48702.3,48872.9,49881.6,50658.2,49130.2,48434.8,47714,44869.2,39190,35788.1,32766.3,28670.7,26361.3,25667.8,25356.4,25238,25760.5,27017.9,27725.9,28777.7,31597.7,35516.3,40240,45761.9,49036.3,52093.7,56907.8,63776.2,67945.2,70690.3,74690.2,79727.7,85614.2,92842.9,98526.6,103870,108584,110395,111754,116396
107667,112044,115194,118359,120885,122775,124940,126643,128159,129408,130520,131519,132351,132516,132999,132904,131925,130265,128753,127367,126188,124711,123267,121450,118512,116252,113762,110927,107311,101206,94628,87542,80804.8,75980.4,72388.3,71954,71930,69270.1,65981.3,62444.4,58479,55367.6,51489.3,48702.3,48872.9,49881.6,50658.2,49130.2,48434.8,47714,44869.2,39190,35788.1,32766.3,28670.7,26361.3,25667.8,25356.4,25238,25760.5,27017.9,27725.9,28777.7,31597.7,35516.3,40240,45761.9,49036.3,52093.7,56907.8,63776.2,67945.2,70690.3,74690.2,79727.7,85614.2,92842.9,98526.6,103870,108584,110395,111754,116396
102553,111203,93638.5,94287.6,111520,76850.6,162362,133409,75117.6,94319.5,184470,125247,103473,102502,102474,132107,106084,90926.1,178620,176036,148669,229017,123808,68746.4,92676,157599,80843.6,107542,123500,77487.3,81253.7,136478,72982.5,69907.5,83860.6,46250.6,70508.6,38217.8,105905,54596.1,60937.3,51815.5,59026.8,33264.9,51448.7,55628.1,73009.3,88074.1,34202.6,39411,51414.2,45124.8,32682.3,35951.8,32398.7,18647.5,29204.1,23565.1,17941.8,18181,16731.6,24367.7,21480.7,28436.7,31411.8,36567.7,48659.7,35569.4,34361.5,62691.3,34380.5,112199,59966,84936.7,50504.3,133956,95867,115519,119600,115363,198459,72599,112625
254197,134770,155313,207351,74804.2,108803,117121,232269,78440.1,207971,122126,70892.9,106259,123334,159219,154360,92911.7,148822,114737,182146,105917,573299,100617,49784,100443,199207,130746,91162.6,122424,64810,101121,62980.4,100894,49199.1,99234,49429.8,55511.4,47845.6,87958,75287.6,133713,63323.3,26680.5,23217.4,109186,32121.2,64927.7,75527.6,46625.6,46064.4,49055.5,23049.9,101503,39810.4,38111.1,19743.1,45551.4,25580.9,34552,33953.4,25494.6,29332.3,32315.6,39871.5,55655.1,82718.6,62056.7,68562.9,48055.9,76149.4,51087.9,84629.2,68874.6,118400,87839.1,204616,143525,226230,202587,108835,254398,142613,190698
101956,58268.3,236656,358611,172801,92071.8,93682.6,224300,121486,100294,94166.7,71321.2,78544.4,111769,212827,114228,105842,91436.8,70840.3,100518,125639,238855,70192.1,42322.9,58708,108652,232072,54810.3,149175,37533.9,56959.4,69663.1,65276.2,97647.6,80329,53707.9,92087.3,68952,111927,132688,60092.8,38312,16750.3,37275.5,60687.7,29956.3,65682.3,64359,25621.9,34228.6,73640.7,18948.4,44966.4,38156.6,34658.1,18732.2,55134.9,25998.1,32785,17148.2,22605.2,26170.4,47654.5,43995.3,60265.4,76575,73717.9,25732.4,109528,58911.2,104835,63355.6,87281.8,68621.9,95402.7,98736.3,305721,115024,154522,91089.7,271490,77392.6,156255
46200,44911.8,192047,280658,218941,138220,99721.6,194307,119957,164489,86030.2,91813.9,166235,93233.8,200682,49990.9,169271,57118.2,173482,76145.4,52919.2,502602,80536.6,61105.2,35638,141375,186082,40040,113275,48501,62213.3,135011,67892.2,91922,88414.5,51996.6,91547.7,63350.5,98320.3,162649,45217.6,34849.7,15842.8,48656.8,51501.3,35258.4,49075.5,112801,26364.6,52068.9,62074,21942.5,43770.2,80796.8,36495,16801,28085.3,34904.2,28815.2,32150,17100.2,67353.3,49426,60288.5,79307.9,72970.7,79971.6,30687.5,185692,75123.7,187924,146551,60830.2,115928,86883.2,118953,266688,138962,126251,100634,235319,94231.7,115561
54644,32958.9,186983,228735,246044,143253,76808.5,110376,221657,145778,100941,112265,81567.9,142440,137845,24043,262939,112427,74564.6,176496,128689,653167,88881.4,50638.6,29006,118171,134830,105779,83106.6,28651.4,69657.9,113143,48317.2,93358.8,113421,101890,50531,41087.6,57985.5,148268,73522.4,48380.1,21684.5,70603,34713.7,19816.6,32702,111943,27368.9,41973.9,58132.5,12012,38188.7,61722,31730.7,7073.99,21496.5,19905.8,19699.1,21339.4,9979.73,30783.1,17104.5,29292.4,66452.4,50524.8,40005.8,19943.1,86908.3,50511.5,59212.1,95730.3,51203.2,67844.8,69672.8,112130,104091,128568,93050.8,115260,157886,115670,94405.1
43924.3,30437.1,147463,274522,194632,80940.8,67208.4,101825,194404,140336,47913.5,82496.7,122234,123367,113405,37594.5,301850,205911,70329.1,142792,67495.5,815057,96563.4,95284.7,24615.2,125524,228249,119924,76590.6,27074.4,74982.1,33966.1,55195.7,151981,55876.4,174684,34500.6,45437.4,84560.4,57048.6,171809,45353.1,51013.2,66454.2,25948.4,20373,41842.5,114151,13797,33986.5,78624.3,7073.12,43828.4,52915.1,47620.6,11085.6,38025.1,24340.4,12212,17115.1,9786.83,33730.1,19550.3,48588.9,73268.5,82313.4,88113.4,37270.6,58744.3,48754.5,78037.7,63535.4,55860.2,169785,104990,292987,215990,102180,111035,142411,121709,60159.7,87916.7
60101.2,30263.7,72595.8,154370,78052.3,66758.6,30127,148436,134653,137093,30395.8,63743.3,98372.4,66456,141175,49904.5,274352,102805,63379.4,69808.5,96784.4,473983,116381,103947,39022,158161,230600,110436,46515.2,34174.1,75993.2,73238.8,59219.9,281838,40045.8,91846.5,38422.2,65146.3,166685,43268.3,107028,41755.7,58971.6,46814.4,37502.9,30474.5,38282.3,85089.5,19671.9,39909.9,104171,9742.06,23913.9,80946,21574,22816.7,17880.6,42440.8,9847.41,15179,14980.5,48539.8,15758.8,56166.5,52590.3,27911.4,97099,30437.2,82756.6,56464.5,57527.5,30575.5,57073.2,41024.2,75227.5,113769,220311,164658,67578.9,93581,88307.6,132458,108728
