sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
16216.7,15038.7,14188.9,13292.3,12590.3,12056.8,11400.1,10652.6,9945.07,9791.8,9491.58,9205.98,8845.62,8328.65,8072.07,7732.89,7293.88,6844.25,6507.95,6246.61,6023.42,5827.06,5646.76,5476.84,5222.04,5043.92,4861.44,4656.05,4403.8,4011.91,3644.78,3298.37,2976.29,2742.59,2555.6,2437.14,2369.67,2291.75,2202.43,2096.21,1987.34,1880.38,1720.04,1604.62,1576.64,1602.31,1635.93,1637.13,1636.52,1593.7,1464.53,1278.88,1165.44,1095.73,990.257,891.521,813.164,777.43,773.589,784.698,821.763,867.127,956.725,1102.52,1275.82,1466.49,1666.32,1875.87,2103.1,2354.39,2632.79,2941.94,3274.43,3615.56,3980.73,4390.74,4832.51,5286.27,5740.86,6205.14,6692.09,7203.97,7739.67,8283.41,8836.52
16216.7,15038.7,14188.9,13292.3,12590.3,12056.8,11400.1,10652.6,9945.07,9791.8,9491.58,9205.98,8845.62,8328.65,8072.07,7732.89,7293.88,6844.25,6507.95,6246.61,6023.42,5827.06,5646.76,5476.84,5222.04,5043.92,4861.44,4656.05,4403.8,4011.91,3644.78,3298.37,2976.29,2742.59,2555.6,2437.14,2369.67,2291.75,2202.43,2096.21,1987.34,1880.38,1720.04,1604.62,1576.64,1602.31,1635.93,1637.13,1636.52,1593.7,1464.53,1278.88,1165.44,1095.73,990.257,891.521,813.164,777.43,773.589,784.698,821.763,867.127,956.725,1102.52,1275.82,1466.49,1666.32,1875.87,2103.1,2354.39,2632.79,2941.94,3274.43,3615.56,3980.73,4390.74,4832.51,5286.27,5740.86,6205.14,6692.09,7203.97,7739.67,8283.41,8836.52
16216.7,15038.7,14188.9,13292.3,12590.3,12056.8,11400.1,10652.6,9945.07,9791.8,9491.58,9205.98,8845.62,8328.65,8072.07,7732.89,7293.88,6844.25,6507.95,6246.61,6023.42,5827.06,5646.76,5476.84,5222.04,5043.92,4861.44,4656.05,4403.8,4011.91,3644.78,3298.37,2976.29,2742.59,2555.6,2437.14,2369.67,2291.75,2202.43,2096.21,1987.34,1880.38,1720.04,1604.62,1576.64,1602.31,1635.93,1637.13,1636.52,1593.7,1464.53,1278.88,1165.44,1095.73,990.257,891.521,813.164,777.43,773.589,784.698,821.763,867.127,956.725,1102.52,1275.82,1466.49,1666.32,1875.87,2103.1,2354.39,2632.79,2941.94,3274.43,3615.56,3980.73,4390.74,4832.51,5286.27,5740.86,6205.14,6692.09,7203.97,7739.67,8283.41,8836.52
16703.5,15494.9,14738.1,13822.8,13264.8,12940.5,12239.6,11375.8,10362.5,9857.49,9490.2,9270.38,8773.8,8039.76,7633.21,7151.29,6690.11,6165.92,5522.17,4888.93,4563.99,4582.62,4526.99,4455.27,4396.23,4360.72,4636.95,4876.77,4511.37,3933.6,3925.22,3810.21,3507.46,3318.62,3092.23,2927.47,3010.69,3062.87,2872.93,2732.87,2616.62,2525.86,2152.07,1973.26,1889.67,1815.84,1788.32,1709,1661.97,1597.22,1561.11,1564.3,1599.39,1462.44,1220.88,1078.72,1021.15,1010.86,985.002,939.536,892.006,871.319,919.65,1007.54,1112.19,1220.09,1345.94,1502,1693.6,1928.36,2177.32,2476.01,2783.73,3032.36,3406.23,3799.7,4318.16,4934.1,5493.42,6005.15,6625.89,7403.46,8125.02,8929.47,9623.82
22804.9,21655.5,20544,19542.4,19083.4,19243.8,19141.1,18345.8,17556.8,16982.4,16247.8,15518.1,14305.8,13029,12579,11271.3,9548.81,8731.22,8043.52,7487.21,7270.07,6978,6572.2,6010.05,5665.06,5219.81,5999.14,6742.11,6296.45,5140.26,4604.7,4545.32,4174.65,3686.21,3257.6,3080.47,2896.61,2876.47,2798.4,2629.92,2383.8,2142.67,1941.75,2002.93,2095.8,2257.83,2479.83,2424.09,2246.92,2222.18,2108.35,1910.26,1854.21,1639.75,1351.2,1295.53,1282.86,1446.79,1637.92,1683.66,1709.82,1778.33,1907,2051.8,2233.44,2394.16,2535.29,2723.29,2989.35,3331.12,3798.14,4289.03,4711.63,5034.08,5360.46,5712.97,6105.31,6579.78,7235.84,8006.77,9103.4,10418.3,11702.2,13177.7,14205.2
19418.3,18261.1,17450.3,16579.8,15947.4,15655.8,15090.1,14659.9,15172.8,16040.8,16128.6,15649.6,13688,11735.7,10897.8,9171.02,7506.5,6807.68,5777.35,5106.68,4572.8,4099.51,3937,3222.48,2812.6,2320.39,2236.76,2341.07,2314.67,2148.09,2217.7,2725.68,2754.06,2750.03,2678.96,2477.5,2449.71,2461.02,2596.5,2428.38,1847.91,1535.61,1618.41,1695.67,1860,2086.5,2132.86,2038.72,1987.11,1970.64,1795.02,1558.8,1459.63,1250.19,997.736,1018.38,976.357,956.933,1029.17,1082.69,1168,1316.43,1485.24,1648.57,1804.88,1937.84,2105.16,2381.59,2761.99,3174.55,3649.59,4218.58,4627.91,5061.87,5582.52,6084.77,6580.57,6988.39,7451.55,8093.31,8781.27,10019.7,11403.2,12338.2,13007.9
17161.3,15648.4,14346.9,13441.2,13137.2,12882.1,12039.2,11397,11570.6,12380.5,12994.9,13000.6,11604,9770.82,8935.12,7674.13,6459.45,6105.21,5522.61,4809.55,3962.21,3912.45,3938.67,2896,2599.85,2428.98,3508.64,4693.86,4732.42,4281.2,3962.83,4164.29,3866.77,3527.05,3531.83,3199.7,2934.69,2735.49,2747.05,2537.87,1553.28,1225.82,1372.44,1511.67,1824.83,2020.64,1996.52,1834.43,1750.37,1741.36,1582.88,1376.45,1474.28,1430.74,1106.72,1052.2,1055.72,1067.53,1241.65,1316.67,1304.98,1342.62,1432.14,1597.61,1825.61,2036.26,2363.18,2851.65,3338.76,3891.8,4466.08,5134.05,5663.3,6489.13,7489.46,8375.8,9453.3,10078.3,10504.9,11069.3,11552.9,12448.3,13451.6,14048.2,14356.5
17697.4,16158.4,14518.9,13401.1,12992.1,12654.3,11777.1,11048.5,10824.9,11376.2,12003.9,11931.3,9957.66,8539.9,8337.85,6760.64,5388.44,4853.73,4687.54,4414.86,3598.42,3550.63,3271.76,2054.06,2338.67,2833.51,4616.4,6358.31,6195.39,5573.94,4386.08,3560.23,3333.78,3265,3055.33,2740.35,2442.91,2062.15,1972.63,1970.18,1788.36,1479.88,1432.15,1259.86,1365.58,1600.85,1761.34,1749.79,1707.06,1727.14,1585.92,1289.78,1339.47,1296.01,915.489,828.407,805.533,747.379,814.191,815.796,745.568,682.345,664.198,744.383,869.353,980.32,1141.4,1384.61,1635.11,2010.59,2449.17,2851.23,3143.26,3507.96,4001.36,4402.15,4906.69,5399.36,5795.18,6236.02,6812.78,7474.11,8181.15,8883.47,9475.32
13816.5,11758.4,9736.7,8500.82,8251.91,8213.35,7719.07,7305.58,7476.23,8298.87,8611,8295.82,7276.59,6398.5,5907.15,4572.03,3442.74,3136.17,3287.54,3179.16,2675.19,3108.89,3917.19,3439.68,3217.29,3367.37,5616.18,7770.74,7783.14,6832.14,5543.96,5140.15,4905.91,4452.37,3592.07,2897.28,2486.77,1882.25,1981.36,2128.72,2093.94,1716.2,1384.3,946.215,928.88,1267.37,1542.47,1533.49,1439.02,1425.17,1347.76,978.972,1019.81,1092.45,749.22,731.556,691.449,640.265,704.41,793.364,853.227,903.669,974.969,1048.69,1144.23,1227.97,1391.83,1668.57,2044.52,2606.06,3241.61,3906.19,4410.52,4743.86,5052.94,5415.07,5915.86,6407.5,7367.73,8559.78,9969.69,11695.3,12792.6,13322,13693.3
12168.5,10166.6,8422.02,7370.7,7067.19,7033.52,6479.51,5659.11,5435.5,5707.57,5583.01,5149.41,4644.19,4338.63,4274.42,3298.6,2569.01,2452.11,2380.58,2082.31,1711.62,2097.45,2251.62,1665.39,1618.89,1989.87,3324.28,4153.42,3976.69,3727.28,3421.71,3599.88,3670.19,3282.29,2419.05,1946.8,1938.52,1546.53,1941.06,2312.58,2094.54,1770.56,1642.62,1403.93,1165.01,1268.78,1413.65,1520.61,1559.7,1489.97,1434.23,972.459,907.58,1016.7,800.059,778.021,660.471,505.311,534.87,540.599,533.737,554.699,627.74,752.79,882.429,1018.68,1284.77,1602.24,1936.97,2430.36,2821.68,3326.26,3839.77,4228.61,4642.8,4947.65,5131.65,5297.73,5562.56,6019.57,6731.23,7802.81,9049.95,9803.36,10223.7
