ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
294061,0.676096,0.199888,0.199888,88405.7,148.421,0.589104,0.735, 34394.7, 12615.2, 2126.06, 0.280915,0.103484,5.46034e-005,9684.27,287.392
294061,0.676096,0.199888,0.199888,88405.7,148.421,0.589104,0.735, 34394.7, 12615.2, 2126.06, 0.280915,0.103484,5.46034e-005,9684.27,287.392
294061,0.676096,0.199888,0.199888,88405.7,148.421,0.589104,0.735, 34394.7, 12615.2, 2126.06, 0.280915,0.103484,5.46034e-005,9684.27,287.392
304000,0.635548,0.199888,0.199888,82547.9,3305.79,0.554278,0.735, 35557.2, 13472.7, 2099.77, 0.25417,0.0863869,5.66369e-005,10324.3,305.956
369611,0.5848,0.199888,0.199888,97190.2,2.37196,0.583995,0.735, 43231.3, 17074.1, 2393.73, 0.222628,0.0683038,3.71301e-005,15097.8,329.231
371083,0.657019,0.199888,0.199888,86126.7,234.75,0.525888,0.735, 43403.6, 16164.2, 2627.36, 0.26814,0.0916898,4.68606e-005,12510.2,338.06
322666,0.709811,0.199888,0.199888,94093,482.32,0.541351,0.735, 37740.4, 13474.7, 2415.55, 0.304441,0.106667,4.03346e-005,16832.5,344.64
309569,0.723963,0.199888,0.199888,84556.4,2.18446,0.509176,0.735, 36208.5, 12782.3, 2349.89, 0.314721,0.104185,5.04619e-005,12860,348.257
286936,0.646674,0.199888,0.199888,80423.6,361.701,0.518328,0.735, 33561.3, 12603, 2007.83, 0.261358,0.110446,5.3743e-005,12871.9,353.628
255911,0.660663,0.199888,0.199888,80744,93079.1,0.514627,0.735, 29932.4, 11114.9, 1819.3, 0.270553,0.089943,5.1764e-005,11466.8,357.265
190561,0.801057,0.199888,0.199888,67882.2,1332.39,0.502902,0.735, 22288.8, 7390.6, 1550.22, 0.375961,0.178701,7.93073e-005,7190.98,361.057
