rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
210711,218796,225503,231422,236261,239768,241848,240945,234798,228138,223228,217190,214217,213282,212038,209505,194522,171713,154483,142161,134064,129269,127129,127508,126488,125201,122738,119319,114757,107048,99410.8,91669.3,84656.7,79934.9,76345.1,75950.5,75201.8,72078.7,68511,66100.6,62403.4,59256.6,54556,52084.2,52302.4,53443.3,53844.6,52098.7,51110.5,50489.7,48047,43077.7,40055.7,36731.9,32165.3,28783.4,27672.3,27403.5,27553.4,28233.5,29564.3,30485.3,31683.2,34658.4,38751.4,43757.8,49805.3,53258.6,56719.9,62930.9,70184.1,74379.9,78790.5,84352.5,91313.5,100582,111731,121127,129990,138759,150094,156292,163344
210711,218796,225503,231422,236261,239768,241848,240945,234798,228138,223228,217190,214217,213282,212038,209505,194522,171713,154483,142161,134064,129269,127129,127508,126488,125201,122738,119319,114757,107048,99410.8,91669.3,84656.7,79934.9,76345.1,75950.5,75201.8,72078.7,68511,66100.6,62403.4,59256.6,54556,52084.2,52302.4,53443.3,53844.6,52098.7,51110.5,50489.7,48047,43077.7,40055.7,36731.9,32165.3,28783.4,27672.3,27403.5,27553.4,28233.5,29564.3,30485.3,31683.2,34658.4,38751.4,43757.8,49805.3,53258.6,56719.9,62930.9,70184.1,74379.9,78790.5,84352.5,91313.5,100582,111731,121127,129990,138759,150094,156292,163344
210711,218796,225503,231422,236261,239768,241848,240945,234798,228138,223228,217190,214217,213282,212038,209505,194522,171713,154483,142161,134064,129269,127129,127508,126488,125201,122738,119319,114757,107048,99410.8,91669.3,84656.7,79934.9,76345.1,75950.5,75201.8,72078.7,68511,66100.6,62403.4,59256.6,54556,52084.2,52302.4,53443.3,53844.6,52098.7,51110.5,50489.7,48047,43077.7,40055.7,36731.9,32165.3,28783.4,27672.3,27403.5,27553.4,28233.5,29564.3,30485.3,31683.2,34658.4,38751.4,43757.8,49805.3,53258.6,56719.9,62930.9,70184.1,74379.9,78790.5,84352.5,91313.5,100582,111731,121127,129990,138759,150094,156292,163344
198144,213303,179483,179233,217398,156151,328916,254536,140612,169491,323090,214040,172399,169602,176274,235435,173170,124663,209012,181616,145763,223379,123788,71051,96765.2,162506,85984.9,115021,130545,80974.2,85881.3,143327,77202.8,73672.1,87770.5,48547.4,74478.6,40781,108542,58590.8,64716,55588.4,62358.2,35362.5,54739.7,59143.1,77141.1,94631.5,36511.8,41421.7,55015.4,49677.8,36518.4,40511.8,36283.2,20409.5,31797,25727.5,19587.6,19958.3,18569.5,27412.3,24323.3,32145.6,35288.2,40854,54275.7,39378.9,38080.3,70747.7,38409.3,123469,66914.8,94999.7,57110.5,154262,111975,137135,143535,140483,258564,95990.8,151242
385662,168054,274805,289919,109686,183091,214092,295694,122286,390677,153174,151632,168107,215128,319791,286766,120137,194799,117063,194146,101727,589878,96611.8,65624.1,74650.7,213794,125433,106269,139100,83629.7,106138,58307.9,102860,51276.4,87082.3,50536.5,64757.4,53266.7,86105.4,76420,139837,63743.6,34883.1,22263.9,130703,32645.3,89991.5,64750.2,42099.7,51060.9,51580.7,33922.7,116163,39453.3,43786.9,20064.1,46023.9,28026.3,34211.2,41264.9,29064,39894.1,29124.2,53208.1,71352.6,89430.8,66927.3,80248.1,42196.7,98004.8,64252.5,100909,57597.6,152550,115965,201382,185803,259522,219408,137577,250184,203316,261900
206714,95529.9,468338,585721,244133,180174,142502,359082,154693,219996,125246,197681,146461,201332,349983,184481,206019,127510,75379.4,101711,110207,326515,74251.9,51154.5,48723.2,122731,139559,100962,173024,49575.4,64216.5,64482.6,77318.3,113623,78126.5,41643.7,97647.5,63233.7,97663,108065,59910.6,53088.5,23419,26595.3,83185.4,32978.7,73814,64050.1,19842.3,40303.9,69390.2,26516.6,55123.4,46320.6,36925.7,19911.7,49650,25556,34238.6,25664,20504,37021.2,37105.3,32634.4,59129.6,75921.9,53535.5,31860.7,60881.7,57545,85069.1,60198.5,56753.8,94812,127280,100556,281137,154270,164364,101297,304309,112161,243209
135283,93075,433920,496460,335904,232098,216349,478889,144274,321703,109907,206204,260009,171498,290152,117141,342848,85488.2,166498,101830,44518.4,413682,66868.5,78721.2,51985,162929,138621,95073.9,131492,78101.1,61507.9,96946.3,99271.3,116930,102241,40191.6,80646.9,62982.7,66393.6,130360,43221.7,53862,21131.1,30357.1,100856,28650.6,52313.2,110913,23416.4,44197.6,64494.7,25967.6,45533.5,78755.3,37912.1,14702.6,19176.7,35931.3,25847.2,39803.5,16465,52243.6,44573.5,48072.7,55334.9,69671.1,40856.8,58824.4,141827,50440.5,208514,133411,52652.9,130385,110678,127259,273838,321136,206467,175649,350484,155088,216192
142393,86278.3,463861,309200,373680,243075,181392,207240,531791,338938,84825.3,192325,169206,217688,335354,66965.4,535142,150283,82966.7,237573,109684,504615,64697.5,78660.8,48719.8,110903,94268.9,191608,99261.1,43654.8,55146.3,69913.4,77600.9,94167.4,128244,75835.9,60532.1,31036.8,48145.5,137303,64674.6,52705.3,33886.8,44484.6,38565.8,30265.5,28341.9,105902,41485.1,35952,61252.6,18358.5,32905.6,58569.5,43920.9,8348.25,24003,17567.1,23087.9,50634.3,15905.6,31072.4,16892.5,29853.2,64997.9,92253.6,26107.5,33616.8,96428.2,44448.8,97208.8,93556.7,37032.4,110385,108181,118135,185791,261372,165405,182536,145149,198083,178127
189989,99294,332109,261330,317002,151925,174267,247625,754758,372833,76008.8,164546,111374,155393,314539,97810.2,479136,228103,90542,161544,63774.2,479362,82413.7,97989.3,39702.6,152957,107581,170413,132583,37403.9,54978.7,21021.3,114253,160772,61179.4,83028.9,50823.3,28824.6,112184,58857.7,130250,59335.2,62304.1,55315.3,31385.8,28231.9,40640.9,89673.7,22635.6,25046.1,60745,12839.2,38251.3,55754.5,63491.1,11651.4,35041.7,18379.5,7508.79,42047.4,15409.1,26460.3,20630.3,43021.5,43279.1,64800.5,32833.8,41941.8,55667.4,31318.2,71487.2,50020.9,29132.1,189795,98177.8,192978,271376,139105,137353,176204,131817,107934,143522
232738,177926,170792,183681,223858,120454,66379.6,308705,586909,319918,85331.9,109798,84654,133400,229541,165209,572528,117682,60831,76881,99541.9,412896,87522.4,94830.4,65847.7,177751,133218,245306,76008.8,63407.4,63763.9,51507.5,192324,215635,54740.7,44169.4,62085.9,38349.3,143966,78627.3,121465,102189,74886.1,31852.1,25532.1,50301.8,35795.1,96135.8,24946.1,32229.6,75676.5,26889.4,20641.7,64586.3,21256.2,33512.5,25797.6,53431.1,6638.44,39944.6,23693.6,64356,27617.1,75634.4,43818.6,29192.7,53609.9,37365.9,82207.5,42384.2,52450.2,33220.8,35198.2,49627.9,71817.4,91844.1,348743,191230,111732,95474.5,198474,251594,216125
