sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
32979.1,30372.2,28043.1,25788.7,23932.7,22319.4,20369.1,18004.9,15539.2,13909.9,12990.1,12157.8,11666.3,11428,11207.5,10896.7,9519.71,7779.92,6645.65,5911.67,5449.12,5190.51,5075.62,5105.57,5062.81,5005.48,4885.58,4712.98,4487.05,4120.08,3786.79,3469.91,3173.2,2960.72,2783.34,2676.17,2621.7,2551.4,2471.91,2377.39,2276.27,2166.58,1994.72,1869.77,1841.59,1871.99,1912.14,1915.25,1910.47,1861.14,1723.49,1520.44,1386.39,1302.21,1184.87,1079.95,994.958,958.812,965.726,983.78,1022.89,1070.63,1165.72,1319.18,1500.96,1700.04,1908.57,2128.72,2368.6,2633.33,2926.91,3255.26,3610.55,3977.31,4374.54,4825.61,5314.43,5824.53,6352.47,6910.54,7517.66,8183.21,8909.77,9684.27,10505.5
32979.1,30372.2,28043.1,25788.7,23932.7,22319.4,20369.1,18004.9,15539.2,13909.9,12990.1,12157.8,11666.3,11428,11207.5,10896.7,9519.71,7779.92,6645.65,5911.67,5449.12,5190.51,5075.62,5105.57,5062.81,5005.48,4885.58,4712.98,4487.05,4120.08,3786.79,3469.91,3173.2,2960.72,2783.34,2676.17,2621.7,2551.4,2471.91,2377.39,2276.27,2166.58,1994.72,1869.77,1841.59,1871.99,1912.14,1915.25,1910.47,1861.14,1723.49,1520.44,1386.39,1302.21,1184.87,1079.95,994.958,958.812,965.726,983.78,1022.89,1070.63,1165.72,1319.18,1500.96,1700.04,1908.57,2128.72,2368.6,2633.33,2926.91,3255.26,3610.55,3977.31,4374.54,4825.61,5314.43,5824.53,6352.47,6910.54,7517.66,8183.21,8909.77,9684.27,10505.5
32979.1,30372.2,28043.1,25788.7,23932.7,22319.4,20369.1,18004.9,15539.2,13909.9,12990.1,12157.8,11666.3,11428,11207.5,10896.7,9519.71,7779.92,6645.65,5911.67,5449.12,5190.51,5075.62,5105.57,5062.81,5005.48,4885.58,4712.98,4487.05,4120.08,3786.79,3469.91,3173.2,2960.72,2783.34,2676.17,2621.7,2551.4,2471.91,2377.39,2276.27,2166.58,1994.72,1869.77,1841.59,1871.99,1912.14,1915.25,1910.47,1861.14,1723.49,1520.44,1386.39,1302.21,1184.87,1079.95,994.958,958.812,965.726,983.78,1022.89,1070.63,1165.72,1319.18,1500.96,1700.04,1908.57,2128.72,2368.6,2633.33,2926.91,3255.26,3610.55,3977.31,4374.54,4825.61,5314.43,5824.53,6352.47,6910.54,7517.66,8183.21,8909.77,9684.27,10505.5
33791.1,31205.2,29091.1,26777.7,25356.5,24384.7,22364.4,19847,16693.5,14002.2,12781.6,12398.5,12018,11499.5,11054.4,10490.5,9159.78,7404.79,5842.7,4705.63,4325.91,4479.63,4527.27,4582.75,4614.95,4577.55,4837.78,5076.35,4715.4,4139.03,4146.79,4036.9,3737.24,3559.79,3334.65,3180.99,3292,3370.91,3194.51,3067.1,2956.46,2860.72,2472.77,2275.65,2195.63,2123.33,2098.7,2016.12,1956.76,1877.87,1835.35,1832.21,1869.49,1724.52,1459.1,1304.69,1246.14,1240.11,1222.08,1180.26,1127.08,1101.49,1151.92,1241.54,1346.98,1455.29,1585.2,1751.62,1959.38,2214.49,2484.59,2810.9,3147.54,3418.15,3830.02,4265.4,4834.89,5514.76,6145.34,6733.43,7464.88,8395.05,9290.57,10324.3,11247.3
42164.9,39827.1,36795.8,34006,32645.9,32448.8,31277.7,28421.4,25190.5,22590.1,21031.1,19341.3,17726.3,16305,15800.4,13732.5,10328.4,8436.07,6946.12,6105.73,6090.87,5842.08,5401.19,4819.97,4797.41,4775.95,5721.14,6440.23,5970.36,4587.58,4038.99,4152.06,3890.46,3606.77,3414.39,3385.28,3257.28,3178.17,3081.27,2867.96,2545.19,2350.79,2279.44,2400.69,2471.38,2611.82,2806.45,2783.98,2662.41,2699.65,2598.35,2381.57,2282.18,1977.98,1628.72,1540.43,1562.27,1809.62,2049.39,2102.3,2122.24,2172.03,2289.13,2417.59,2601.73,2777.9,2959.96,3183.32,3479.51,3906.13,4444.99,4963.86,5434.07,5776.68,6132.92,6566.05,7059.66,7573.78,8284.78,9271.06,10495.3,11943.3,13469,15097.8,16296.6
42119.9,39624,37263.7,34729.5,32818.1,31862.4,30044.3,27818.1,26987.3,26988.9,26579.9,24943.6,22392.1,19555.2,17626.8,14617.3,10974.3,8894.58,6062.65,4780.76,4082.45,3606.08,3440.75,2673.89,2504.4,2348.61,2740.89,3170.85,3000.18,2499.82,2437.19,2692.63,2668.97,2771.12,2685.82,2513.37,2427.93,2419.09,2668.88,2659.58,2110.24,1846.22,1944.96,2028.18,2131.24,2244.85,2278.04,2231.88,2178.31,2213.06,2100.98,1818,1660.3,1407.64,1104.97,1091.38,1090.17,1124.66,1211.64,1258.01,1334.77,1457.95,1599.99,1754.39,1936.75,2077.41,2242.29,2498.04,2780.48,3095.12,3509.12,3937.42,4222.09,4476.55,4780.46,5161.23,5607.04,6001.11,6522.26,7425.52,8380.77,9714.72,11265.6,12510.2,13433.7
36269.5,33589.8,30097.6,27284.2,26455.3,26016.5,24134.3,21530.9,20267.8,20499.1,20638,19748.4,19321.9,17257.3,15187.7,12873.6,10009.1,8106.06,5867.1,4259.41,3242.92,3681.56,3875.53,2812.62,2649.78,2440.42,3238.82,4148.99,4186.24,3925.14,3694.79,3745.47,3491.8,3272.81,3273.47,2842.43,2320.14,2207.72,2488.84,2560.11,1839.72,1500.37,1615.51,1629.08,1747.11,1802.16,1812.59,1764.25,1696.13,1896,1955.51,1606.92,1559.84,1475.34,1038.44,917.665,969.753,1027.65,1166.15,1195.41,1160.12,1154.51,1224.4,1388.34,1622.71,1846.38,2108.13,2494.67,2885.73,3269.61,3729.79,4224.92,4663.53,5475.61,6295.46,7191.13,8388.29,9086.54,9668.18,10556.1,11549.6,12933,14915.6,16832.5,18094.9
34730.7,31988.6,27917.2,24721.8,23698.4,22962.7,21024.7,18501.7,16626.4,16216.3,16604.3,16214.3,15311.3,14788.6,14280.6,11589.4,8567.94,6351.53,5296.85,4882.35,3702.09,4052.8,3724.99,2428.06,2733.74,3155.88,4504.34,5677.69,5594.65,5390.03,4064.6,3083.68,3055.61,3246.52,3135.3,2578.33,2152.81,2038.99,2233.55,2296.79,2144.23,2057.12,1981.03,1585.56,1610.58,1822.5,1864.87,1771.44,1651.28,1660.97,1667.65,1417.88,1403.14,1424.9,1146.66,1095.37,1147.72,1077.24,1107.35,1158.92,1104.45,1048.67,1070.83,1175.78,1388.8,1594.59,1751.18,1967.63,2217.98,2564.05,3096.06,3585.01,3857.59,4281.77,4754.36,5203.12,5839.57,6324.47,6817.99,7632.78,8609.09,9781.48,11355.7,12860,14044.6
31765.4,28427.5,23227.8,19430,18859.7,18804.4,17733.8,15439.8,13358,12772.9,12639.3,12289.3,12242.3,12783.1,12966.7,11382.3,8664.57,6289.7,5069.5,4692.43,3795.52,4319.83,5070.88,4244.04,3815.01,3570.37,4629.47,5841.89,6012.01,5836.55,5036.6,4368.96,4227.64,4398.96,3959.79,3090.72,2602.83,2308.34,2570,2707.71,2513.39,2380.18,2027.07,1471.79,1363.41,1575.9,1755.74,1786.31,1686.46,1648.03,1608.65,1262.23,1198.35,1273.53,972.247,909.26,956.577,940.916,986.628,1098.27,1152.26,1141.53,1184.64,1234.04,1360.14,1517.37,1645.44,1826.37,2089.45,2410.69,2787.47,3144.7,3391.78,3667.17,3892.2,4183.13,4681.45,5092.1,5993.34,7315.96,8586.84,10311,11892.5,12871.9,13721
28423.8,25142.5,20258.4,16928.9,16270.2,16196.7,15747,14116.1,12667.9,11710,10892.1,9718.44,8976.55,9299.06,9525.83,8402.51,6868.15,4721.08,3545.72,3132.34,2786.72,3771.37,3437.2,2302.04,2281.8,2658.05,3733.4,4091.14,3793.64,3710.15,3447.96,3266.29,3280.31,3194.9,2910.29,2594.4,2482.03,2295.41,2649.1,3005.61,2751.88,2597.07,2465.85,2051.95,1946.5,2189.75,2472.23,2720.47,2678.28,2358.33,2175.52,1646.88,1453.39,1577.42,1289.98,1216.35,1244.78,1053.2,965.917,957.5,990.803,1000.01,1107.46,1287.72,1492.95,1746.14,2100.26,2486.05,2869.75,3302.84,3567.8,3841.23,4093.99,4370.46,4645.3,4801.97,4921.92,4994.96,5210.43,5835.25,6656.66,8202.38,10159.7,11466.8,12416.8
